category,size,Frequency
C5~585,1,39
C6~2411,1,12
C7~5989,1,12
C6~2421,1,153
C7~6019,1,89
C6~2414,1,75
C7~5993,1,54
C6~2406,1,154
C7~5983,1,116
C7~6016,1,88
C7~6020,1,59
C7~6011,1,5
C7~5999,1,13
C6~2416,1,76
C7~6001,1,64
C6~2412,1,27
C7~5990,1,27
C7~6009,1,8
C7~6002,1,10
C7~5984,1,32
C7~6015,1,90
C7~5994,1,20
C7~6003,1,2
C6~2440,1,24
C7~6047,1,21
C7~6006,1,3
C7~5996,1,4
C6~2437,1,140
C7~6037,1,81
C7~6038,1,33
C7~6039,1,25
C5~592,1,84
C6~2435,1,84
C7~6034,1,84
C7~6042,1,12
C5~594,1,116
C6~2442,1,55
C7~6051,1,36
C7~6052,1,19
C6~2444,1,49
C7~6057,1,49
C6~2439,1,26
C7~6044,1,20
C7~6045,1,6
C7~6048,1,3
C2~2,1,29571
C3~12,1,794
C4~92,1,129
C5~601,1,32
C6~2460,1,12
C7~6078,1,12
C5~600,1,68
C6~2453,1,45
C7~6071,1,39
C6~2452,1,3
C7~6068,1,3
C7~6070,1,6
C6~2454,1,20
C7~6072,1,20
C6~2457,1,2
C7~6075,1,2
C6~2459,1,6
C7~6077,1,6
C5~599,1,29
C6~2450,1,29
C7~6066,1,29
C6~2458,1,12
C7~6076,1,12
C4~93,1,197
C5~604,1,104
C6~2469,1,15
C7~6090,1,13
C6~2470,1,41
C7~6093,1,34
C6~2472,1,17
C7~6096,1,17
C6~2471,1,22
C7~6095,1,22
C4~95,1,139
C5~613,1,12
C6~2487,1,12
C7~6111,1,12
C5~603,1,86
C6~2464,1,21
C7~6082,1,21
C5~607,1,21
C6~2477,1,21
C7~6101,1,21
C5~608,1,17
C6~2480,1,5
C7~6104,1,5
C5~611,1,15
C6~2485,1,15
C7~6109,1,15
C5~610,1,55
C6~2484,1,55
C7~6108,1,55
C6~2481,1,7
C7~6105,1,7
C7~6094,1,7
C5~612,1,12
C6~2486,1,12
C7~6110,1,12
C6~2482,1,3
C7~6106,1,3
C5~609,1,3
C6~2483,1,3
C7~6107,1,3
