category,size,Frequency
C7~11154,1,17
C5~1752,1,29
C6~5712,1,27
C7~11182,1,17
C7~11181,1,10
C7~11148,1,68
C7~11147,1,89
C7~11155,1,14
C7~11189,1,7
C7~11162,1,6
C7~11143,1,12
C7~11156,1,18
C7~11146,1,10
C7~11151,1,31
C7~11141,1,23
C7~11161,1,15
C7~11157,1,8
C7~11150,1,18
C7~11139,1,28
C7~11140,1,18
C7~11192,1,26
C7~11163,1,4
C6~5718,1,50
C7~11206,1,14
C7~11159,1,7
C7~11160,1,4
C7~11158,1,31
C4~315,1,56
C5~1759,1,56
C6~5728,1,56
C7~11224,1,56
C5~1751,1,48
C6~5709,1,45
C7~11174,1,34
C7~11145,1,15
C7~11191,1,16
C7~11193,1,7
C7~11207,1,5
C7~11205,1,11
C7~11208,1,8
C7~11203,1,7
C6~5710,1,3
C7~11177,1,2
C5~1756,1,25
C6~5723,1,8
C7~11218,1,5
C6~5721,1,13
C7~11212,1,11
C7~11190,1,5
C6~5717,1,11
C7~11200,1,1
C5~1758,1,58
C6~5727,1,50
C7~11223,1,50
C6~5726,1,8
C7~11222,1,8
C7~11213,1,2
C5~1755,1,5
C6~5719,1,5
C7~11209,1,5
C6~5722,1,4
C7~11215,1,4
C7~11196,1,6
C7~11199,1,4
C7~11219,1,3
C5~1757,1,2
C6~5724,1,2
C7~11220,1,2
C7~11204,1,5
C7~11175,1,11
C7~1261,1,131
C5~128,1,259
C6~555,1,201
C7~1244,1,139
C7~1266,1,71
C6~563,1,34
C7~1275,1,18
C7~1245,1,20
C7~1243,1,42
C6~556,1,58
C7~1251,1,39
C7~1250,1,19
C7~1264,1,15
C6~1471,1,151
C7~3974,1,151
C3~34,1,805
C4~319,1,242
C5~1768,1,37
C6~5767,1,37
C7~11273,1,37
C5~1769,1,68
C6~5768,1,68
C7~11274,1,68
C5~1766,1,89
C6~5761,1,32
C7~11262,1,22
C6~5762,1,37
C7~11266,1,31
C5~1767,1,37
C6~5765,1,28
C7~11271,1,28
C7~11261,1,6
C6~5760,1,19
C7~11257,1,7
C6~5766,1,7
C7~11272,1,7
C5~1765,1,11
C6~5758,1,11
C7~11254,1,11
C4~322,1,91
C5~1785,1,91
C6~5801,1,91
C7~11315,1,91
C7~11258,1,12
C7~11263,1,4
C7~11268,1,2
C4~326,1,52
C5~1798,1,52
C6~5823,1,52
C7~11341,1,52
C4~320,1,102
C5~1774,1,20
C6~5773,1,20
C7~11279,1,20
C5~1773,1,25
C6~5772,1,25
C7~11278,1,25
C4~321,1,78
C5~1781,1,31
C6~5795,1,10
C7~11309,1,10
C5~1780,1,27
C6~5789,1,6
C7~11295,1,6
C5~1779,1,10
C6~5786,1,10
C7~11292,1,10
C6~5796,1,3
C7~11310,1,3
C5~1777,1,57
C6~5782,1,15
C7~11288,1,15
C6~5790,1,11
C7~11296,1,11
C6~5793,1,11
C7~11299,1,11
C5~1783,1,1
C6~5799,1,1
C7~11313,1,1
C6~5788,1,5
C7~11294,1,5
C6~5783,1,25
C7~11289,1,25
C6~5791,1,5
C7~11297,1,5
C6~5794,1,7
C7~11304,1,7
C5~1782,1,9
C6~5797,1,9
C7~11311,1,9
C6~5784,1,12
C7~11290,1,12
C6~5781,1,5
C7~11287,1,5
C4~327,1,21
C5~1802,1,17
C6~5827,1,17
C7~11345,1,17
C1~7,1,298037
C2~18,1,6190
C4~324,1,30
C5~1792,1,30
C6~5812,1,30
C7~11326,1,30
C4~325,1,16
C5~1794,1,12
C6~5815,1,11
C7~11329,1,11
C5~1795,1,3
C6~5819,1,3
C7~11337,1,3
C4~323,1,173
C5~1790,1,142
C6~5807,1,84
C7~11321,1,84
C6~5808,1,58
C7~11322,1,58
C5~1791,1,22
C6~5811,1,5
C7~11325,1,5
C6~5810,1,17
C7~11324,1,17
C1~8,1,11198
C2~19,1,6013
C3~35,1,5817
C4~331,1,1303
C5~1823,1,622
C6~5904,1,130
C7~11583,1,10
C6~5902,1,168
C7~11570,1,13
C7~11586,1,38
C6~5901,1,192
C7~11560,1,15
C7~11558,1,45
C6~5903,1,132
C7~11577,1,38
C7~11588,1,8
C7~11567,1,51
C7~11584,1,16
C7~11566,1,25
C7~11576,1,42
C4~330,1,550
C5~1813,1,69
C6~5866,1,61
C7~11430,1,24
C5~1811,1,19
C6~5855,1,7
C7~11388,1,7
C7~11568,1,46
C5~1824,1,681
C6~5911,1,190
C7~11614,1,46
C7~11585,1,43
C6~5910,1,216
C7~11610,1,66
C7~11432,1,13
C7~11557,1,56
C6~5909,1,65
C7~11606,1,11
C4~332,1,752
C5~1830,1,132
C6~5930,1,107
C7~11657,1,36
C7~11431,1,3
C7~11429,1,16
C6~5853,1,8
C7~11379,1,1
C7~11613,1,134
C7~11615,1,10
C7~11555,1,14
C7~11565,1,14
C7~11574,1,12
C7~11607,1,54
C5~1815,1,246
C6~5873,1,16
C7~11453,1,16
C7~11556,1,29
C7~11575,1,18
C5~1812,1,189
C6~5862,1,146
C7~11412,1,42
C6~5863,1,25
C7~11421,1,5
C7~11554,1,5
C7~11582,1,5
C7~11573,1,7
C7~11564,1,5
C7~11414,1,22
C7~11413,1,22
C7~11377,1,3
C7~11411,1,47
C7~11376,1,4
C7~11563,1,8
C7~11579,1,5
C7~11559,1,17
C7~11569,1,6
C6~5907,1,143
C7~11601,1,20
C7~11656,1,60
C7~11595,1,28
C7~11609,1,115
C6~5877,1,42
C7~11468,1,11
C6~5872,1,76
C7~11450,1,26
C7~11449,1,3
C7~11447,1,28
C7~11417,1,12
C6~5876,1,76
C7~11461,1,18
C7~11418,1,6
C7~11460,1,54
C6~5867,1,8
C7~11436,1,3
C7~11467,1,13
C6~5874,1,13
C7~11454,1,13
C7~11448,1,19
C5~1814,1,24
C6~5869,1,22
C7~11442,1,3
C7~11440,1,5
C7~11611,1,35
C5~1829,1,435
C6~5928,1,171
C7~11647,1,33
C7~11433,1,5
C6~5875,1,23
C7~11457,1,10
C6~5864,1,18
C7~11424,1,7
C7~11423,1,10
C7~11415,1,12
C7~11456,1,11
C7~11435,1,5
C7~11466,1,5
C7~11439,1,5
C7~11441,1,2
C6~5870,1,2
C7~11444,1,2
C7~11458,1,2
C7~11471,1,12
C7~11443,1,7
C7~11598,1,11
C4~335,1,2275
C5~1858,1,185
C6~6015,1,46
C7~11769,1,46
C6~5908,1,67
C7~11604,1,67
C7~11602,1,13
C7~11594,1,29
C7~11596,1,7
C7~11597,1,15
C6~5927,1,108
C7~11643,1,69
C7~11600,1,13
C7~11599,1,6
C5~1861,1,628
C6~6030,1,445
C7~11784,1,445
C6~6017,1,105
C7~11771,1,105
C5~1831,1,127
C6~5934,1,107
C7~11662,1,67
C7~11663,1,40
C5~1832,1,58
C6~5938,1,55
C7~11669,1,55
C6~5936,1,6
C7~11667,1,6
C6~5931,1,22
C7~11658,1,22
C6~5935,1,14
C7~11665,1,11
C7~11666,1,3
C4~333,1,192
C5~1837,1,154
C6~5954,1,63
C7~11694,1,63
C6~5939,1,3
C7~11670,1,3
C6~5952,1,59
C7~11691,1,55
C6~5951,1,27
C7~11689,1,27
C5~1839,1,20
C6~5960,1,13
C7~11700,1,13
C5~1840,1,10
C6~5962,1,10
C7~11702,1,10
C6~5959,1,6
C7~11699,1,6
C5~1838,1,8
C6~5957,1,8
C7~11697,1,8
C6~5953,1,5
C7~11693,1,5
C6~5961,1,1
C7~11701,1,1
C4~334,1,285
C5~1848,1,104
C6~5989,1,98
C7~11736,1,90
C5~1847,1,168
C6~5984,1,112
C7~11727,1,93
C7~11737,1,8
C6~5983,1,56
C7~11725,1,44
C7~11724,1,12
C5~1849,1,13
C6~5990,1,13
C7~11738,1,13
C7~11728,1,19
C5~1860,1,244
C6~6026,1,50
C7~11780,1,50
C5~1857,1,187
C6~6012,1,58
C7~11765,1,30
C5~1864,1,187
C6~6056,1,18
C7~11856,1,18
C6~6011,1,129
C7~11761,1,72
C6~6024,1,136
C7~11778,1,136
C5~1862,1,495
C6~6038,1,360
C7~11807,1,100
C7~11805,1,205
C6~6027,1,45
C7~11781,1,45
C6~6039,1,58
C7~11811,1,11
C6~6031,1,123
C7~11785,1,123
C5~1863,1,233
C6~6046,1,22
C7~11831,1,22
C6~6045,1,191
C7~11830,1,191
C7~11810,1,39
C7~11808,1,10
C7~11812,1,3
C6~6054,1,69
C7~11854,1,69
C7~11760,1,36
C6~6016,1,22
C7~11770,1,22
C7~11762,1,21
C6~6040,1,77
C7~11815,1,50
C5~1859,1,116
C6~6021,1,68
C7~11775,1,68
C7~11806,1,45
C6~6052,1,45
C7~11843,1,45
C6~6019,1,32
C7~11773,1,32
C6~6057,1,2
C7~11857,1,2
C7~11766,1,13
C6~6020,1,2
C7~11774,1,2
C6~6055,1,43
C7~11855,1,43
C6~6032,1,35
C7~11786,1,35
C6~6014,1,12
C7~11768,1,12
C7~11764,1,15
C4~337,1,328
C5~1878,1,122
C6~6106,1,25
C7~11961,1,25
C7~11813,1,5
C6~6022,1,14
C7~11776,1,14
C6~6025,1,13
C7~11779,1,13
C6~6029,1,25
C7~11783,1,25
C7~11816,1,16
C6~6053,1,10
C7~11850,1,10
C7~11817,1,5
C4~336,1,132
C5~1873,1,18
C6~6089,1,18
C7~11927,1,18
C5~1872,1,114
C6~6084,1,114
C7~11914,1,114
C5~1876,1,136
C6~6099,1,55
C7~11950,1,7
C6~6105,1,97
C7~11960,1,97
C5~1877,1,70
C6~6102,1,54
C7~11957,1,54
C6~6103,1,16
C7~11958,1,16
C6~6097,1,74
C7~11943,1,74
C6~6098,1,7
C7~11947,1,7
C7~11951,1,19
C7~11949,1,29
C6~5926,1,156
C7~11640,1,35
C7~11650,1,42
C7~11646,1,44
C7~11639,1,115
C6~5932,1,3
C7~11659,1,3
C7~11654,1,9
C7~11638,1,6
C7~11651,1,35
C7~11655,1,2
C7~11642,1,6
C7~11648,1,13
C7~11644,1,33
C7~11649,1,4
C2~22,1,2108
C3~36,1,2008
C4~344,1,109
C5~1926,1,60
C6~6219,1,60
C7~12208,1,60
C4~341,1,357
C5~1896,1,255
C6~6151,1,255
C7~12034,1,255
C5~1892,1,22
C6~6144,1,22
C7~12015,1,22
C5~1895,1,55
C6~6150,1,55
C7~12033,1,55
C5~1897,1,25
C6~6158,1,25
C7~12065,1,25
C4~348,1,258
C5~1953,1,40
C6~6281,1,40
C7~12324,1,40
C5~1950,1,133
C6~6278,1,133
C7~12321,1,133
C4~342,1,351
C5~1904,1,180
C6~6176,1,180
C7~12123,1,180
C5~1903,1,110
C6~6175,1,110
C7~12122,1,110
C5~1923,1,11
C6~6216,1,11
C7~12205,1,11
C5~1902,1,26
C6~6174,1,26
C7~12121,1,26
C4~346,1,501
C5~1938,1,260
C6~6250,1,158
C7~12279,1,158
C4~343,1,214
C5~1911,1,142
C6~6186,1,142
C7~12139,1,142
C5~1910,1,56
C6~6185,1,56
C7~12138,1,56
C5~1937,1,188
C6~6245,1,95
C7~12266,1,32
C7~12265,1,63
C6~6252,1,59
C7~12281,1,59
C5~1905,1,35
C6~6177,1,35
C7~12124,1,35
C5~1909,1,8
C6~6181,1,8
C7~12128,1,8
C6~6246,1,93
C7~12271,1,52
C5~1912,1,8
C6~6187,1,8
C7~12140,1,8
C6~6251,1,43
C7~12280,1,43
C5~1922,1,11
C6~6215,1,11
C7~12204,1,11
C5~1951,1,38
C6~6279,1,38
C7~12322,1,38
C7~12269,1,15
C4~345,1,218
C5~1932,1,46
C6~6228,1,6
C7~12222,1,6
C5~1933,1,172
C6~6234,1,41
C7~12244,1,37
C6~6233,1,21
C7~12241,1,21
C6~6232,1,46
C7~12238,1,44
C6~6235,1,40
C7~12245,1,40
C6~6226,1,32
C7~12215,1,32
C6~6236,1,24
C7~12246,1,24
C6~6227,1,8
C7~12221,1,8
C7~12243,1,4
C7~12270,1,26
C5~1925,1,1
C6~6218,1,1
C7~12207,1,1
C5~1924,1,26
C6~6217,1,26
C7~12206,1,26
C5~1949,1,24
C6~6274,1,24
C7~12305,1,24
C5~1952,1,23
C6~6280,1,23
C7~12323,1,23
C2~20,1,2358
C3~37,1,1938
C4~350,1,311
C5~1961,1,44
C6~6309,1,36
C7~12370,1,23
C5~1960,1,34
C6~6303,1,30
C7~12356,1,15
C7~12357,1,15
C5~1964,1,206
C6~6317,1,142
C7~12384,1,142
C6~6304,1,1
C7~12358,1,1
C5~1962,1,7
C6~6311,1,7
C7~12375,1,7
C6~6310,1,8
C7~12374,1,4
C6~6315,1,18
C7~12382,1,18
C7~12373,1,4
C6~6316,1,9
C7~12383,1,9
C5~1963,1,18
C6~6312,1,18
C7~12376,1,18
C6~6314,1,37
C7~12378,1,37
C4~351,1,197
C5~1972,1,46
C6~6338,1,46
C7~12439,1,46
C7~12371,1,13
C6~6302,1,3
C7~12351,1,3
C4~352,1,462
C5~1981,1,221
C6~6365,1,64
C7~12505,1,23
C6~6366,1,69
C7~12508,1,41
C6~6364,1,72
C7~12500,1,37
C7~12501,1,33
C5~1980,1,81
C6~6358,1,49
C7~12477,1,22
C7~12509,1,28
C5~1983,1,65
C6~6375,1,30
C7~12525,1,30
C6~6360,1,11
C7~12487,1,11
C7~12504,1,30
C6~6363,1,16
C7~12497,1,10
C6~6357,1,2
C7~12470,1,2
C7~12506,1,11
C5~1982,1,95
C6~6369,1,35
C7~12517,1,23
C6~6376,1,23
C7~12526,1,23
C7~12498,1,6
C6~6370,1,25
C7~12520,1,24
C7~12516,1,11
C6~6377,1,12
C7~12527,1,12
C6~6359,1,19
C7~12481,1,12
C7~12519,1,1
C7~12476,1,14
C7~12478,1,6
C7~12502,1,2
C6~6371,1,27
C7~12521,1,27
C7~12483,1,6
C6~6368,1,7
C7~12514,1,2
C7~12484,1,1
C7~12513,1,5
C2~21,1,719
C4~354,1,641
C5~1989,1,376
C6~6395,1,163
C7~12582,1,120
C5~1988,1,181
C6~6390,1,79
C7~12559,1,66
C6~6396,1,152
C7~12593,1,83
C6~6397,1,61
C7~12604,1,22
C5~1991,1,44
C6~6402,1,16
C7~12616,1,16
C5~1990,1,40
C6~6399,1,35
C7~12613,1,35
C7~12606,1,5
C7~12607,1,4
C6~6389,1,102
C7~12551,1,62
C7~12594,1,22
C7~12588,1,11
C7~12599,1,4
C7~12552,1,19
C6~6403,1,28
C7~12617,1,28
C7~12605,1,21
C7~12584,1,9
C7~12591,1,5
C7~12560,1,6
C7~12550,1,19
C7~12595,1,33
C7~12554,1,1
C7~12580,1,4
C7~12596,1,4
C7~12602,1,4
C6~6400,1,5
C7~12614,1,5
C4~353,1,113
C5~1986,1,113
C6~6386,1,113
C7~12546,1,113
C5~1973,1,23
C6~6341,1,23
C7~12448,1,23
C5~1976,1,54
C6~6344,1,54
C7~12451,1,54
C4~356,1,214
C5~1996,1,214
C6~6419,1,214
C7~12659,1,214
C5~1974,1,39
C6~6342,1,39
C7~12449,1,39
C5~1975,1,35
C6~6343,1,35
C7~12450,1,35
C3~38,1,876
C4~358,1,139
C5~2007,1,108
C6~6452,1,15
C7~12718,1,14
C6~6449,1,65
C7~12690,1,48
C4~361,1,261
C5~2043,1,92
C6~6562,1,67
C7~13113,1,67
C4~364,1,197
C5~2104,1,30
C6~6626,1,30
C7~13177,1,30
C7~12691,1,16
C6~6450,1,18
C7~12713,1,4
C5~2008,1,28
C6~6471,1,28
C7~12824,1,24
C6~6451,1,3
C7~12715,1,3
C7~12825,1,4
C7~12712,1,14
C7~12719,1,1
C5~2006,1,3
C6~6447,1,3
C7~12687,1,3
C6~6453,1,7
C7~12721,1,7
C5~2105,1,4
C6~6645,1,4
C7~13196,1,4
C4~360,1,40
C5~2021,1,27
C6~6527,1,27
C7~13078,1,27
C5~2106,1,13
C6~6646,1,13
C7~13197,1,13
C5~2042,1,73
C6~6557,1,12
C7~13108,1,12
C6~6559,1,41
C7~13110,1,41
C4~362,1,103
C5~2062,1,74
C6~6584,1,74
C7~13135,1,74
C5~2041,1,8
C6~6552,1,7
C7~13103,1,7
C5~2039,1,17
C6~6545,1,17
C7~13096,1,17
C5~2110,1,18
C6~6668,1,18
C7~13219,1,18
C5~2063,1,23
C6~6585,1,23
C7~13136,1,23
C5~2040,1,71
C6~6547,1,33
C7~13098,1,33
C5~2018,1,5
C6~6524,1,5
C7~13075,1,5
C5~2107,1,7
C6~6647,1,7
C7~13198,1,7
C6~6549,1,17
C7~13100,1,17
C6~6563,1,22
C7~13114,1,22
C4~363,1,133
C5~2085,1,6
C6~6607,1,6
C7~13158,1,6
C5~2084,1,43
C6~6606,1,43
C7~13157,1,43
C5~2083,1,84
C6~6605,1,84
C7~13156,1,84
C5~2108,1,98
C6~6648,1,98
C7~13199,1,98
C5~2064,1,6
C6~6586,1,6
C7~13137,1,6
C5~2020,1,7
C6~6526,1,7
C7~13077,1,7
C6~6548,1,15
C7~13099,1,15
C6~6560,1,5
C7~13111,1,5
C6~6550,1,6
C7~13101,1,6
C6~6553,1,1
C7~13104,1,1
C6~6558,1,15
C7~13109,1,15
C4~359,1,3
C5~2014,1,3
C6~6516,1,3
C7~12987,1,3
C1~11,1,18460
C2~25,1,18460
C3~39,1,227
C4~370,1,173
C5~2134,1,121
C6~6818,1,121
C7~13369,1,121
C5~2135,1,52
C6~6819,1,52
C7~13370,1,52
C4~371,1,47
C5~2136,1,47
C6~6820,1,47
C7~13371,1,47
C4~372,1,7
C5~2137,1,7
C6~6821,1,7
C7~13372,1,7
C3~4,1,2245
C4~24,1,608
C5~143,1,244
C6~608,1,36
C7~1397,1,29
C7~1398,1,7
C6~610,1,110
C7~1401,1,67
C5~146,1,179
C6~617,1,65
C7~1411,1,65
C6~612,1,30
C7~1404,1,30
C5~142,1,162
C6~595,1,20
C7~1379,1,20
C6~607,1,27
C7~1395,1,27
C5~141,1,23
C6~592,1,23
C7~1376,1,23
C6~616,1,114
C7~1408,1,114
C6~594,1,116
C7~1378,1,116
C6~597,1,18
C7~1381,1,18
C6~606,1,11
C7~1394,1,11
C6~605,1,13
C7~1393,1,13
C7~1402,1,23
C7~1400,1,20
C6~596,1,8
C7~1380,1,8
C6~604,1,8
C7~1392,1,8
C4~25,1,960
C5~153,1,314
C6~646,1,62
C7~1481,1,62
C5~152,1,574
C6~635,1,161
C7~1453,1,161
C6~633,1,237
C7~1449,1,108
C6~643,1,36
C7~1472,1,22
C6~647,1,126
C7~1483,1,112
C5~154,1,40
C6~652,1,16
C7~1496,1,16
C6~653,1,7
C7~1499,1,1
C6~649,1,6
C7~1487,1,4
C6~650,1,4
C7~1490,1,3
C6~644,1,25
C7~1475,1,18
C7~1484,1,14
C6~645,1,47
C7~1480,1,4
C7~1478,1,38
C6~651,1,7
C7~1493,1,4
C7~1494,1,1
C7~1473,1,8
C7~1479,1,5
C7~1444,1,15
C6~642,1,18
C7~1470,1,18
C7~1446,1,18
C5~151,1,32
C6~631,1,32
C7~1442,1,32
C6~637,1,40
C7~1457,1,40
C7~1495,1,2
C7~1498,1,6
C6~636,1,36
C7~1456,1,36
C7~1448,1,62
C7~1445,1,20
C7~1491,1,1
C6~638,1,40
C7~1461,1,40
C7~1447,1,14
C6~634,1,60
C7~1450,1,60
C7~1488,1,2
C4~26,1,677
C5~161,1,170
C6~671,1,167
C7~1538,1,167
C5~167,1,24
C6~695,1,22
C7~1564,1,22
C5~160,1,34
C6~669,1,29
C7~1533,1,16
C5~159,1,42
C6~665,1,27
C7~1517,1,14
C5~166,1,140
C6~688,1,39
C7~1557,1,39
C6~668,1,5
C7~1527,1,2
C6~687,1,101
C7~1556,1,101
C5~158,1,59
C6~662,1,59
C7~1508,1,59
C7~1535,1,5
C5~162,1,34
C6~674,1,26
C7~1543,1,26
C5~164,1,2
C6~684,1,2
C7~1553,1,2
C7~1534,1,5
C7~1518,1,4
C7~1528,1,1
C6~664,1,13
C7~1511,1,9
C6~676,1,1
C7~1545,1,1
C5~165,1,22
C6~685,1,22
C7~1554,1,22
C7~1519,1,7
C6~672,1,3
C7~1539,1,3
C5~163,1,141
C6~682,1,41
C7~1551,1,41
C5~168,1,9
C6~696,1,9
C7~1565,1,9
C6~680,1,27
C7~1549,1,27
C6~675,1,6
C7~1544,1,6
C6~679,1,59
C7~1548,1,59
C6~681,1,14
C7~1550,1,14
C6~694,1,2
C7~1563,1,2
C7~1510,1,2
C7~1536,1,3
C7~1530,1,1
C7~1513,1,1
C7~1512,1,1
C7~1529,1,1
C3~40,1,6246
C4~374,1,3607
C5~2140,1,2029
C6~6825,1,1114
C7~13377,1,752
C6~6830,1,578
C7~13392,1,174
C5~2141,1,1578
C6~6835,1,1286
C7~13410,1,522
C7~13409,1,616
C7~13393,1,158
C6~6829,1,180
C7~13385,1,180
C6~6837,1,40
C7~13413,1,40
C4~375,1,2639
C5~2147,1,1431
C6~6863,1,532
C7~13473,1,156
C6~6826,1,116
C7~13382,1,116
C6~6841,1,148
C7~13420,1,111
C7~13394,1,94
C7~13379,1,72
C7~13411,1,21
C7~13378,1,284
C6~6838,1,44
C7~13414,1,44
C7~13408,1,127
C7~13391,1,152
C6~6839,1,21
C7~13415,1,21
C6~6866,1,188
C7~13484,1,188
C7~13418,1,28
C6~6868,1,85
C7~13492,1,37
C7~13419,1,9
C5~2149,1,379
C6~6875,1,67
C7~13503,1,67
C6~6828,1,32
C7~13384,1,32
C6~6827,1,6
C7~13383,1,6
C5~2148,1,223
C6~6870,1,70
C7~13494,1,70
C6~6874,1,312
C7~13502,1,312
C6~6867,1,191
C7~13486,1,149
C5~2146,1,342
C6~6858,1,199
C7~13460,1,199
C6~6865,1,333
C7~13482,1,140
C6~6836,1,19
C7~13412,1,19
C7~13474,1,136
C7~13472,1,217
C7~13481,1,91
C6~6856,1,63
C7~13458,1,63
C6~6857,1,48
C7~13459,1,48
C5~2151,1,240
C6~6880,1,240
C7~13521,1,240
C6~6872,1,26
C7~13499,1,22
C6~6871,1,127
C7~13496,1,103
C7~13500,1,4
C7~13488,1,40
C6~6864,1,102
C7~13478,1,93
C7~13497,1,24
C7~13479,1,9
C7~13483,1,102
C7~13475,1,19
C7~13476,1,4
C7~13491,1,48
C3~42,1,646
C4~389,1,60
C5~2202,1,48
C6~7007,1,48
C7~13722,1,48
C3~41,1,764
C4~379,1,82
C5~2167,1,28
C6~6923,1,11
C7~13611,1,11
C4~378,1,94
C5~2163,1,84
C6~6913,1,27
C7~13596,1,27
C4~377,1,252
C5~2159,1,67
C6~6904,1,21
C7~13573,1,8
C5~2164,1,10
C6~6916,1,8
C7~13599,1,8
C5~2158,1,185
C6~6898,1,81
C7~13556,1,43
C4~388,1,62
C5~2200,1,49
C6~7005,1,49
C7~13720,1,49
C7~13557,1,28
C6~6897,1,67
C7~13551,1,39
C4~383,1,146
C5~2186,1,80
C6~6965,1,80
C7~13656,1,80
C5~2184,1,12
C6~6963,1,12
C7~13654,1,12
C4~380,1,34
C5~2172,1,28
C6~6930,1,24
C7~13621,1,24
C7~13553,1,11
C5~2166,1,54
C6~6921,1,14
C7~13608,1,4
C5~2173,1,6
C6~6937,1,6
C7~13628,1,6
C6~6920,1,40
C7~13605,1,29
C6~6905,1,37
C7~13576,1,21
C6~6914,1,57
C7~13597,1,57
C6~6899,1,37
C7~13562,1,13
C6~6924,1,17
C7~13614,1,17
C7~13604,1,11
C7~13577,1,8
C7~13574,1,5
C4~382,1,111
C5~2181,1,28
C6~6958,1,14
C7~13649,1,14
C7~13552,1,17
C3~43,1,1056
C4~397,1,207
C5~2223,1,108
C6~7065,1,108
C7~13801,1,108
C3~46,1,7215
C4~419,1,1224
C5~2302,1,556
C6~7404,1,312
C7~14516,1,289
C7~13578,1,8
C7~13560,1,20
C5~2187,1,50
C6~6966,1,50
C7~13657,1,50
C5~2182,1,83
C6~6961,1,24
C7~13652,1,24
C6~6960,1,59
C7~13651,1,59
C7~13558,1,10
C6~6957,1,14
C7~13648,1,14
C4~424,1,393
C5~2340,1,130
C6~7545,1,130
C7~14835,1,130
C4~421,1,427
C5~2315,1,139
C6~7467,1,111
C7~14702,1,111
C6~7469,1,17
C7~14704,1,17
C5~2301,1,386
C6~7401,1,255
C7~14507,1,237
C5~2316,1,75
C6~7471,1,53
C7~14706,1,53
C5~2313,1,113
C6~7456,1,70
C7~14691,1,70
C5~2314,1,100
C6~7463,1,62
C7~14698,1,62
C4~381,1,45
C5~2177,1,15
C6~6950,1,6
C7~13641,1,6
C6~6949,1,9
C7~13640,1,9
C5~2176,1,23
C6~6946,1,12
C7~13637,1,12
C5~2178,1,7
C6~6951,1,7
C7~13642,1,7
C6~6945,1,11
C7~13636,1,11
C4~391,1,19
C5~2205,1,19
C6~7010,1,19
C7~13725,1,19
C4~385,1,346
C5~2191,1,222
C6~6989,1,6
C7~13700,1,6
C4~386,1,108
C5~2195,1,24
C6~6996,1,15
C7~13708,1,5
C5~2190,1,92
C6~6978,1,15
C7~13675,1,15
C6~6985,1,7
C7~13692,1,7
C6~6980,1,40
C7~13679,1,28
C6~6981,1,49
C7~13682,1,30
C6~6987,1,13
C7~13698,1,12
C6~6983,1,15
C7~13687,1,9
C5~2196,1,84
C6~7000,1,35
C7~13714,1,12
C7~13678,1,10
C6~6971,1,20
C7~13665,1,9
C6~6972,1,5
C7~13667,1,5
C6~6986,1,30
C7~13695,1,19
C6~6970,1,12
C7~13663,1,5
C7~13681,1,19
C6~6982,1,7
C7~13684,1,5
C7~13709,1,10
C6~6973,1,6
C7~13670,1,1
C6~6974,1,9
C7~13671,1,9
C7~13662,1,7
C6~6984,1,12
C7~13690,1,3
C7~13669,1,5
C7~13688,1,6
C7~13666,1,11
C6~6997,1,7
C7~13710,1,7
C7~13715,1,23
C6~7001,1,40
C7~13716,1,40
C6~6999,1,9
C7~13712,1,9
C6~6990,1,31
C7~13701,1,31
C4~387,1,30
C5~2197,1,30
C6~7002,1,30
C7~13717,1,30
C7~13691,1,9
C6~6995,1,2
C7~13706,1,2
C6~6988,1,12
C7~13699,1,12
C7~13694,1,11
C5~2192,1,32
C6~6991,1,32
C7~13702,1,32
C6~6975,1,12
C7~13672,1,12
C5~2199,1,13
C6~7004,1,13
C7~13719,1,13
C7~13697,1,1
C6~6977,1,3
C7~13674,1,3
C6~6976,1,10
C7~13673,1,10
C4~394,1,343
C5~2209,1,232
C6~7017,1,128
C7~13735,1,128
C5~2210,1,81
C6~7023,1,56
C7~13747,1,56
C6~7025,1,10
C7~13749,1,10
C6~7016,1,94
C7~13734,1,94
C6~7022,1,9
C7~13746,1,9
C5~2211,1,30
C6~7028,1,20
C7~13752,1,20
C4~395,1,506
C5~2215,1,394
C6~7041,1,211
C7~13768,1,31
C6~7042,1,66
C7~13770,1,55
C6~7043,1,87
C7~13776,1,27
C5~2217,1,98
C6~7050,1,66
C7~13786,1,66
C7~13766,1,160
C6~7052,1,16
C7~13788,1,16
C7~13767,1,20
C7~13774,1,47
C6~7051,1,16
C7~13787,1,16
C5~2216,1,14
C6~7046,1,14
C7~13782,1,14
C5~2303,1,88
C6~7408,1,88
C7~14526,1,88
C6~7400,1,131
C7~14503,1,86
C7~13772,1,11
C5~2224,1,51
C6~7066,1,51
C7~13802,1,51
C5~2222,1,16
C6~7064,1,16
C7~13800,1,16
C7~13775,1,13
C5~2226,1,18
C6~7068,1,18
C7~13804,1,18
C4~423,1,484
C5~2328,1,231
C6~7508,1,27
C7~14772,1,27
C5~2327,1,56
C6~7499,1,56
C7~14753,1,56
C3~44,1,141
C4~399,1,127
C5~2237,1,22
C6~7079,1,22
C7~13815,1,22
C5~2233,1,8
C6~7075,1,8
C7~13811,1,8
C4~390,1,21
C5~2204,1,21
C6~7009,1,21
C7~13724,1,21
C5~2236,1,5
C6~7078,1,5
C7~13814,1,5
C5~2238,1,5
C6~7080,1,5
C7~13816,1,5
C5~2234,1,11
C6~7076,1,11
C7~13812,1,11
C5~2235,1,42
