word,id,cnt
CANDY,322,3471
25,323,3468
COCONUT,324,3449
C4~835,325,3448
50,326,3447
C4~917,327,3437
ALL,328,3425
LIGHT,329,3375
BABY,330,3373
BIRT,331,3367
CHEDDAR,332,3358
CLAIRES,333,3347
C4~495,334,3324
C5~2690,335,3324
C6~8693,336,3324
C7~17152,337,3324
18,338,3315
C4~498,339,3314
C5~2700,340,3314
C6~8720,341,3314
C7~17179,342,3314
C5~2543,343,3313
C6~8155,344,3313
C7~15938,345,3313
D,346,3301
C4~12,347,3299
CLASSIC,348,3298
C3~70,349,3296
DE,350,3295
TRAY,351,3280
STARBUCKS,352,3276
GARDEN,353,3269
CHIPS,354,3268
C3~54,355,3259
C5~5911,356,3247
SM,357,3234
C5~4521,358,3232
C6~13900,359,3232
C7~28774,360,3232
C4~1196,361,3217
C5~6924,362,3217
C6~21672,363,3217
C7~46307,364,3217
CHRISTMAS,365,3210
GIFT,366,3207
95,367,3206
C3~63,368,3187
CARD,369,3184
CHERRY,370,3183
BONELESS,371,3183
C4~794,372,3183
C4~731,373,3172
CHIP,374,3152
SALMON,375,3151
C4~496,376,3136
FOR,377,3129
WILD,378,3100
C5~6066,379,3099
CARAMEL,380,3097
C4~900,381,3088
LG,382,3084
EVERYDAY,383,3083
C4~913,384,3072
LB,385,3066
14,386,3065
C4~845,387,3059
C6~16625,388,3051
C7~33364,389,3051
15,390,3050
69,391,3043
SLICED,392,3043
ROASTED,393,3041
C5~1377,394,3038
SOAP,395,3037
DESIGN,396,3037
PREMIUM,397,3031
TREE,398,3030
C4~497,399,3017
STEAK,400,2980
SPRAY,401,2975
C4~725,402,2963
C5~4042,403,2963
C6~12661,404,2963
C7~26695,405,2963
C3~47,406,2960
CHARDONNAY,407,2948
SEASONING,408,2943
ST,409,2938
C6~18856,410,2937
TOWEL,411,2936
C4~747,412,2927
C4~935,413,2914
C4~910,414,2911
C5~5211,415,2911
C6~16189,416,2911
C7~32499,417,2911
VARIETY,418,2910
O,419,2909
JUICE,420,2882
C4~839,421,2879
C6~11498,422,2874
C7~24284,423,2874
DAYC,424,2874
BROWN,425,2871
MANGO,426,2871
CINNAMON,427,2864
C4~1164,428,2854
PEANUT,429,2849
POTATO,430,2844
C4~665,431,2844
C5~3632,432,2844
C6~11472,433,2844
C7~24258,434,2844
SMOKED,435,2843
FOOD,436,2839
EGG,437,2838
100,438,2837
C2~29,439,2830
C4~940,440,2830
C6~16486,441,2829
C5~6156,442,2829
C5~1363,443,2828
C4~998,444,2825
FASHION,445,2811
TOP,446,2810
SANDWICH,447,2809
C5~4374,448,2804
PLATE,449,2799
C3~28,450,2795
BBQ,451,2794
MEDIUM,452,2775
GROUND,453,2775
C5~4067,454,2761
YELLOW,455,2754
VALLEY,456,2752
C6~11496,457,2743
C7~24282,458,2743
MEAT,459,2718
SINGLE,460,2715
C5~24,461,2706
C6~85,462,2706
C7~217,463,2706
PIZZA,464,2705
FL,465,2695
SPRING,466,2693
POT,467,2691
C4~904,468,2686
SPICE,469,2680
LOVE,470,2680
BERRY,471,2677
CUT,472,2668
ITALIAN,473,2657
DRY,474,2656
C5~3669,475,2653
C4~375,476,2639
C3~20,477,2632
C4~456,478,2631
HEART,479,2630
NEW,480,2611
ROAST,481,2607
C5~2693,482,2607
C6~8699,483,2607
C7~17158,484,2607
CORN,485,2580
HOME,486,2575
NAPKIN,487,2566
LIME,488,2564
C4~4,489,2555
NOIR,490,2552
BREAST,491,2543
C4~87,492,2541
C4~819,493,2541
MUG,494,2540
750,495,2539
C4~820,496,2534
C4~792,497,2523
BEER,498,2516
GOOD,499,2503
Z,500,2495
PASTA,501,2495
C5~3657,502,2492
C6~11514,503,2492
C7~24300,504,2492
RASPBERRY,505,2491
IPA,506,2487
NO,507,2481
SPICY,508,2479
LIP,509,2470
READYMEALS,510,2469
HAND,511,2457
C5~5097,512,2457
C4~1046,513,2451
SILVER,514,2450
C5~5304,515,2437
C6~16539,516,2437
C7~33274,517,2437
C3~31,518,2431
ASSORTED,519,2430
SHRIMP,520,2430
EVERGREEN,521,2424
SNACK,522,2423
BIG,523,2421
SOFT,524,2420
MINT,525,2415
BACON,526,2402
CERAMIC,527,2399
C5~3620,528,2384
C4~824,529,2376
SOUP,530,2372
PARTY,531,2372
C5~3649,532,2371
C6~11506,533,2371
C7~24292,534,2371
EXTRA,535,2368
C4~899,536,2366
SUPER,537,2361
C2~20,538,2358
BLANC,539,2349
C6~19802,540,2349
SIZE,541,2346
BODY,542,2338
C5~2696,543,2337
