Item,Freq,Size
5~2663,180,1
6~2663,3,1
7~2663,3,1
5~3375,45,1
6~3375,45,1
7~3375,45,1
5~3854,37,1
6~3854,37,1
7~3854,37,1
6~1708,159,1
7~1708,159,1
6~10661,7,1
7~10661,7,1
6~11714,5,1
7~11714,5,1
6~12319,4,1
7~12319,4,1
6~13988,2,1
7~13988,2,1
4~2486,191,1
5~2486,3,1
6~2486,3,1
7~2486,3,1
5~8564,24,1
6~8564,1,1
7~8564,1,1
5~4840,26,1
6~4840,26,1
7~4840,26,1
5~7100,39,1
6~15194,1,1
7~15194,1,1
5~10237,16,1
6~10662,7,1
7~10662,7,1
6~11715,5,1
7~11715,5,1
5~10663,14,1
6~9169,11,1
7~9169,11,1
6~6495,23,1
7~6495,23,1
6~12992,3,1
7~12992,3,1
5~7280,37,1
6~11716,5,1
7~11716,5,1
6~12993,3,1
7~12993,3,1
6~8565,13,1
7~8565,13,1
5~7799,32,1
6~5953,27,1
7~5953,27,1
6~9849,9,1
7~9849,9,1
6~5954,27,1
7~5954,27,1
6~11717,5,1
7~11717,5,1
6~8828,12,1
7~8828,12,1
6~11718,5,1
7~11718,5,1
6~15195,1,1
7~15195,1,1
6~12320,4,1
7~12320,4,1
4~944,622,1
5~4217,97,1
6~3230,72,1
7~3230,72,1
5~2427,208,1
6~2628,94,1
7~2628,94,1
6~13989,2,1
7~13989,2,1
5~2352,215,1
6~8020,15,1
7~8020,15,1
6~6496,23,1
7~6496,23,1
6~6819,21,1
7~6819,21,1
5~4061,102,1
6~4697,41,1
7~4697,41,1
6~3629,61,1
7~3629,61,1
6~3826,56,1
7~3826,56,1
6~10664,7,1
7~10664,7,1
6~10665,7,1
7~10665,7,1
6~1490,186,1
7~1490,186,1
6~7281,37,1
7~10949,13,1
7~8829,24,1
1~4,56823,1
2~15,56823,1
3~4,56685,1
4~937,598,1
5~937,9,1
6~937,9,1
7~937,9,1
5~2187,78,1
6~2187,78,1
7~2187,78,1
5~2552,192,1
6~2552,1,1
7~2552,1,1
5~801,245,1
6~801,245,1
7~801,245,1
6~2891,83,1
7~2891,83,1
6~2339,108,1
7~2339,108,1
5~8830,24,1
6~13990,2,1
7~13990,2,1
6~9850,9,1
7~9850,9,1
5~3125,50,1
6~3125,50,1
7~3125,50,1
6~8566,13,1
7~8566,13,1
3~752,794,1
4~3548,78,1
5~3548,16,1
6~3548,16,1
7~3548,16,1
5~7336,12,1
6~7336,12,1
7~7336,12,1
5~9851,6,1
6~9851,6,1
7~9851,6,1
5~6820,14,1
6~6820,14,1
7~6820,14,1
5~11134,4,1
6~11134,4,1
7~11134,4,1
5~8567,26,1
6~12321,4,1
7~12321,4,1
6~6657,22,1
7~6657,22,1
3~638,966,1
4~1662,330,1
5~12994,2,1
6~12994,2,1
7~12994,2,1
5~1588,115,1
6~1588,115,1
7~1588,115,1
5~6948,41,1
6~8265,14,1
7~8265,14,1
5~7949,31,1
6~7337,18,1
7~7337,18,1
6~5955,27,1
7~5955,27,1
6~8568,13,1
7~8568,13,1
5~8831,24,1
6~7338,18,1
7~7338,18,1
5~6161,50,1
6~7564,17,1
7~7564,17,1
6~15196,1,1
7~15196,1,1
6~11719,5,1
7~11719,5,1
6~8266,14,1
7~8266,14,1
6~7189,19,1
7~7189,19,1
5~5628,60,1
6~8832,12,1
7~8832,12,1
6~5531,31,1
7~5531,31,1
6~9852,9,1
7~9852,9,1
5~9366,7,1
6~9366,7,1
7~9366,7,1
6~10238,8,1
7~10238,8,1
3~865,677,1
4~1581,347,1
5~2227,225,1
6~2227,2,1
7~2227,2,1
6~12995,6,1
7~15197,2,1
6~6821,21,1
7~6821,21,1
5~3630,122,1
6~6340,24,1
7~6340,24,1
6~5629,30,1
7~5629,30,1
7~13991,4,1
6~7282,37,1
7~14628,3,1
6~2845,85,1
7~2845,85,1
6~6048,53,1
7~6822,42,1
6~11720,5,1
7~11720,5,1
7~8178,29,1
6~7800,16,1
7~7800,16,1
7~11498,11,1
6~5916,55,1
7~9707,19,1
7~7339,36,1
7~13563,5,1
6~8569,13,1
7~8569,13,1
3~296,2245,1
4~297,2245,1
5~866,608,1
6~866,23,1
7~866,23,1
6~2107,244,1
7~3455,110,1
6~2749,179,1
7~2233,114,1
7~10239,8,1
6~2953,162,1
7~7340,18,1
7~5956,27,1
7~3456,65,1
7~7009,20,1
7~8570,13,1
7~9170,11,1
7~2202,116,1
7~10240,8,1
7~15198,1,1
7~5630,30,1
7~10241,8,1
7~7341,36,1
4~2787,175,1
5~5493,21,1
6~5493,21,1
7~5493,21,1
5~8833,8,1
6~8833,8,1
7~8833,8,1
5~9367,7,1
6~9367,7,1
7~9367,7,1
5~8444,9,1
6~8444,9,1
7~8444,9,1
5~8021,10,1
6~8021,10,1
7~8021,10,1
5~6658,44,1
6~10666,7,1
7~10666,7,1
6~11135,6,1
7~11135,6,1
6~13992,2,1
7~13992,2,1
5~5258,68,1
6~9853,9,1
7~9853,9,1
6~9505,10,1
7~9505,10,1
6~13993,2,1
7~13993,2,1
6~12322,4,1
7~12322,4,1
6~8834,12,1
7~8834,12,1
6~13994,2,1
7~13994,2,1
6~9171,11,1
7~9171,11,1
6~4405,45,1
7~4405,45,1
5~12323,8,1
6~13995,2,1
7~13995,2,1
6~15199,1,1
7~15199,1,1
6~13996,2,1
7~13996,2,1
6~12996,3,1
7~12996,3,1
6~13997,2,1
7~13997,2,1
4~353,1730,1
5~353,22,1
6~353,22,1
7~353,22,1
5~4287,90,1
6~4287,2,1
7~4287,2,1
5~885,660,1
6~885,2,1
7~885,2,1
5~1769,302,1
6~2318,199,1
7~2318,20,1
6~7565,17,1
7~7565,17,1
5~1368,416,1
6~2629,94,1
7~2629,94,1
6~1044,539,1
7~1044,19,1
6~911,322,1
7~911,322,1
6~11136,12,1
7~16077,1,1
6~6823,21,1
7~6823,21,1
6~6341,48,1
7~9368,21,1
6~10488,15,1
7~16078,1,1
6~9172,21,1
7~9172,1,1
6~10950,13,1
7~14629,3,1
6~12997,5,1
7~12997,1,1
7~15200,2,1
6~4109,50,1
7~4109,50,1
7~8571,26,1
7~10242,16,1
7~13564,5,1
5~2136,240,1
6~1987,131,1
7~1987,131,1
6~12998,6,1
7~16079,1,1
7~12324,8,1
6~11137,12,1
7~16080,1,1
7~12999,6,1
6~15201,1,1
7~15201,1,1
7~16081,1,1
7~13565,5,1
7~13000,6,1
7~7801,32,1
7~16082,1,1
6~14630,3,1
7~14631,3,1
7~15202,2,1
7~13566,5,1
7~14632,3,1
7~13001,6,1
7~16083,1,1
7~15203,2,1
6~8572,13,1
7~8572,13,1
6~11138,11,1
7~11138,1,1
7~3457,130,1
7~15204,2,1
7~15205,2,1
6~5219,66,1
7~5219,3,1
6~11721,10,1
7~13998,4,1
7~5441,64,1
7~14633,3,1
7~15206,2,1
7~7500,35,1
6~3260,71,1
7~3260,71,1
6~6342,24,1
7~6342,24,1
7~15207,2,1
7~6592,45,1
7~16084,1,1
7~9173,22,1
7~13567,5,1
7~13568,5,1
7~15208,2,1
7~13569,5,1
7~4379,91,1
7~6593,45,1
7~2788,175,1
7~16085,1,1
7~4825,79,1
7~15209,2,1
7~13999,4,1
7~16086,1,1
7~14634,3,1
7~16087,1,1
7~13002,6,1
7~15210,2,1
7~12325,8,1
7~14635,3,1
7~15211,2,1
7~13570,5,1
4~780,744,1
5~780,6,1
6~780,6,1
7~780,6,1
5~741,269,1
6~741,269,1
7~741,269,1
5~442,464,1
6~442,464,1
7~442,464,1
5~12053,3,1
6~12053,3,1
7~12053,3,1
5~13003,2,1
6~13003,2,1
7~13003,2,1
3~782,758,1
4~783,758,1
5~1418,360,1
6~1418,12,1
7~1418,12,1
6~5808,19,1
7~5808,19,1
6~7714,33,1
7~8835,12,1
6~3389,134,1
7~3261,71,1
7~9854,9,1
6~2954,162,1
7~7010,20,1
7~6824,21,1
7~6949,41,1
7~4613,84,1
7~13004,6,1
