Item,Freq,Size
6~11192,6,1
7~11192,6,1
6~5086,36,1
7~5086,36,1
6~4851,39,1
7~4851,39,1
6~2474,101,1
7~2474,101,1
6~6515,23,1
7~6515,23,1
6~5542,31,1
7~5542,31,1
6~9212,11,1
7~9212,11,1
6~4485,44,1
7~4485,44,1
6~4292,47,1
7~4292,47,1
6~7022,20,1
7~7022,20,1
6~3634,61,1
7~3634,61,1
6~11782,5,1
7~11782,5,1
5~500,1229,1
6~5643,30,1
7~5643,30,1
6~1064,274,1
7~1064,274,1
6~9535,10,1
7~9535,10,1
6~4186,49,1
7~4186,49,1
6~1240,231,1
7~1240,231,1
6~12387,4,1
7~12387,4,1
6~12388,4,1
7~12388,4,1
6~11193,6,1
7~11193,6,1
6~13102,3,1
7~13102,3,1
6~10718,7,1
7~10718,7,1
6~5967,27,1
7~5967,27,1
6~6681,22,1
7~6681,22,1
6~6356,24,1
7~6356,24,1
6~8605,13,1
7~8605,13,1
6~5858,28,1
7~5858,28,1
6~6516,23,1
7~6516,23,1
6~12389,4,1
7~12389,4,1
6~4563,43,1
7~4563,43,1
6~4410,45,1
7~4410,45,1
6~14092,2,1
7~14092,2,1
6~14093,2,1
7~14093,2,1
6~11194,6,1
7~11194,6,1
6~6221,25,1
7~6221,25,1
6~1016,288,1
7~1016,288,1
6~12390,4,1
7~12390,4,1
6~1540,179,1
7~1540,179,1
6~6682,22,1
7~6682,22,1
6~15373,1,1
7~15373,1,1
6~15374,1,1
7~15374,1,1
6~13103,3,1
7~13103,3,1
6~957,305,1
7~957,305,1
6~1685,163,1
7~1685,163,1
6~6222,25,1
7~6222,25,1
6~2892,83,1
7~2892,83,1
6~7023,20,1
7~7023,20,1
6~12391,4,1
7~12391,4,1
6~9893,9,1
7~9893,9,1
6~10719,7,1
7~10719,7,1
6~14094,2,1
7~14094,2,1
6~4187,49,1
7~4187,49,1
6~562,540,1
7~562,540,1
6~3702,59,1
7~3702,59,1
6~14095,2,1
7~14095,2,1
6~10720,7,1
7~10720,7,1
6~13104,3,1
7~13104,3,1
6~13105,3,1
7~13105,3,1
6~14096,2,1
7~14096,2,1
6~9536,10,1
7~9536,10,1
6~13106,3,1
7~13106,3,1
6~11195,6,1
7~11195,6,1
6~14097,2,1
7~14097,2,1
6~11783,5,1
7~11783,5,1
6~6517,23,1
7~6517,23,1
6~5968,27,1
7~5968,27,1
6~7824,16,1
7~7824,16,1
6~7206,19,1
7~7206,19,1
6~7825,16,1
7~7825,16,1
6~1757,153,1
7~1757,153,1
6~4114,50,1
7~4114,50,1
3~52,17508,1
4~704,859,1
5~704,2,1
6~704,2,1
7~704,2,1
5~1526,362,1
6~2092,123,1
7~2092,123,1
5~1261,453,1
6~3588,62,1
7~3588,62,1
6~5543,31,1
7~5543,31,1
5~6840,42,1
6~11784,5,1
7~11784,5,1
6~8870,12,1
7~8870,12,1
6~6223,25,1
7~6223,25,1
6~1191,239,1
7~1191,239,1
6~815,360,1
7~815,360,1
3~22,36225,1
4~71,12794,1
5~71,8,1
6~71,8,1
7~71,8,1
5~4664,83,1
6~12392,4,1
7~12392,4,1
6~4011,52,1
7~4011,52,1
5~283,2384,1
6~589,1037,1
7~6224,50,1
7~5753,58,1
6~462,1330,1
7~1419,79,1
7~5181,70,1
5~1154,500,1
6~766,391,1
7~766,391,1
5~1840,95,1
6~1840,95,1
7~1840,95,1
6~7597,17,1
7~7597,17,1
5~534,1137,1
6~1311,217,1
7~1311,217,1
5~1384,410,1
6~1345,212,1
7~1345,212,1
7~12086,9,1
7~7964,31,1
5~633,980,1
6~2685,92,1
7~2685,92,1
7~5969,54,1
6~1806,147,1
7~1806,147,1
7~3789,114,1
7~3216,145,1
7~5813,57,1
7~9894,18,1
7~2547,195,1
5~1992,87,1
6~1992,87,1
7~1992,87,1
7~5927,55,1
7~653,948,1
5~391,1588,1
6~3969,53,1
7~3969,53,1
6~6841,42,1
7~7360,36,1
5~619,996,1
6~3420,66,1
7~3420,66,1
5~606,1014,1
6~2893,83,1
7~2893,83,1
6~8052,15,1
7~8052,15,1
7~9728,19,1
7~2885,167,1
6~2322,109,1
7~2322,109,1
5~3280,141,1
6~4783,40,1
7~4783,40,1
5~3263,142,1
6~11785,5,1
7~11785,5,1
6~233,1535,1
7~233,1535,1
5~976,597,1
6~3295,140,1
7~7598,34,1
7~9385,21,1
5~1054,554,1
6~4966,75,1
7~12746,7,1
6~2755,89,1
7~2755,89,1
6~480,645,1
7~480,645,1
5~1419,317,1
6~1040,280,1
7~1040,280,1
6~5267,34,1
7~5267,34,1
6~3296,70,1
7~3296,70,1
6~2507,198,1
7~9081,23,1
5~2665,186,1
6~2927,82,1
7~2927,82,1
6~9895,9,1
7~9895,9,1
6~1962,266,1
7~9729,19,1
6~5970,27,1
7~5970,27,1
5~652,949,1
6~5544,31,1
7~5544,31,1
7~8053,30,1
6~3749,116,1
7~6603,45,1
6~5003,37,1
7~5003,37,1
7~11543,11,1
6~10721,7,1
7~10721,7,1
6~1686,163,1
7~1686,163,1
7~11544,11,1
6~3356,68,1
7~3356,68,1
6~4012,52,1
7~4012,52,1
6~4063,51,1
7~4063,51,1
5~2029,85,1
6~2029,85,1
7~2029,85,1
6~4486,44,1
7~4486,44,1
5~4013,104,1
6~2819,86,1
7~2819,86,1
5~2093,82,1
6~2093,82,1
7~2093,82,1
7~10111,17,1
5~1039,187,1
6~1039,187,1
7~1039,187,1
6~1192,228,1
7~1192,250,1
7~7513,35,1
6~1180,241,1
7~1180,241,1
6~13107,3,1
7~13107,3,1
6~3031,157,1
7~3703,118,1
6~3913,54,1
7~3913,54,1
6~1073,272,1
7~1073,272,1
7~7109,39,1
6~7599,17,1
7~7599,17,1
6~3665,60,1
7~3665,60,1
6~7361,18,1
7~7361,18,1
7~13108,6,1
7~11545,11,1
7~14716,3,1
7~5316,67,1
7~4967,75,1
7~7207,38,1
6~5545,31,1
7~5545,31,1
6~2447,103,1
7~2447,103,1
6~1027,284,1
7~1027,284,1
7~4461,89,1
7~9730,19,1
6~795,371,1
7~795,371,1
7~6683,44,1
7~3635,122,1
5~3062,154,1
6~6518,23,1
7~6518,23,1
6~1103,265,1
7~1103,265,1
7~4665,83,1
6~4115,50,1
7~4115,50,1
6~3147,149,1
7~3347,137,1
7~3007,158,1
6~9537,10,1
7~9537,10,1
5~6842,14,1
6~6842,14,1
7~6842,14,1
6~476,650,1
7~476,650,1
7~11196,12,1
6~826,713,1
7~7514,35,1
7~8871,24,1
6~1752,308,1
7~1823,289,1
7~4598,85,1
6~3829,56,1
7~3829,56,1
6~3128,75,1
7~3128,75,1
7~9731,19,1
7~862,678,1
6~2958,81,1
7~2958,81,1
3~302,2210,1
4~1128,445,1
5~1128,23,1
6~1128,23,1
7~1128,23,1
5~1428,394,1
6~11546,11,1
7~12747,7,1
6~6050,52,1
7~6050,1,1
7~11786,10,1
7~16154,1,1
6~2686,184,1
7~8872,24,1
6~6357,48,1
7~11547,11,1
6~8468,27,1
7~13109,6,1
7~16155,1,1
7~15375,2,1
7~7288,37,1
7~13110,6,1
7~10522,15,1
7~9386,21,1
5~8294,28,1
6~9213,22,1
7~12748,7,1
7~10523,15,1
7~11197,12,1
7~12393,8,1
7~5268,68,1
7~9896,18,1
7~5004,74,1
6~5087,72,1
7~16156,1,1
7~5971,54,1
7~10112,17,1
6~13111,6,1
7~15376,2,1
7~14098,4,1
4~1510,367,1
5~3914,106,1
6~3914,1,1
7~3914,1,1
5~6090,52,1
6~12394,4,1
7~12394,4,1
5~11787,10,1
6~15377,1,1
7~15377,1,1
5~6519,46,1
6~11788,5,1
7~11788,5,1
6~4236,48,1
7~4236,48,1
6~4703,41,1
7~4703,41,1
5~3081,153,1
6~5269,34,1
7~5269,34,1
6~2405,105,1
7~2405,105,1
6~9897,9,1
7~9897,9,1
6~2158,119,1
7~2158,119,1
4~221,3017,1
5~221,78,1
6~221,78,1
7~221,78,1
5~2508,66,1
6~2508,66,1
7~2508,66,1
5~115,2337,1
6~115,2337,1
7~115,2337,1
5~1398,135,1
6~1398,135,1
7~1398,135,1
5~512,401,1
6~512,401,1
7~512,401,1
4~1334,372,1
5~1334,18,1
6~1334,18,1
7~1334,18,1
5~1711,106,1
6~1711,106,1
7~1711,106,1
5~4237,32,1
6~4237,32,1
7~4237,32,1
5~5357,22,1
6~5357,22,1
7~5357,22,1
5~12087,3,1
6~12087,3,1
7~12087,3,1
5~1307,145,1
6~1307,145,1
7~1307,145,1
5~3328,46,1
6~3328,46,1
7~3328,46,1
3~125,6246,1
4~263,2639,1
5~816,240,1
6~816,240,1
7~816,240,1
5~1598,342,1
6~5452,32,1
7~5452,32,1
6~3554,63,1
7~3554,63,1
5~5088,24,1
6~5088,24,1
7~5088,24,1
5~1471,379,1
6~939,312,1
7~939,312,1
6~3392,67,1
7~3392,67,1
6~4238,48,1
7~4238,48,1
5~2270,223,1
6~3297,70,1
7~3297,70,1
5~433,1431,1
6~1099,532,1
7~9732,19,1
6~4599,85,1
7~6358,48,1
6~4064,102,1
7~4325,93,1
7~14099,4,1
6~1650,333,1
7~3298,140,1
6~1415,199,1
7~1415,199,1
7~3040,156,1
7~12088,9,1
6~1477,188,1
7~1477,188,1
7~7289,37,1
6~8606,26,1
7~14100,4,1
6~2598,191,1
7~3148,149,1
7~4384,91,1
6~3532,127,1
7~8873,24,1
7~2334,217,1
7~7024,40,1
7~15378,2,1
7~4065,102,1
7~4043,103,1
7~3357,136,1
7~9214,22,1
5~728,726,1
6~728,34,1
7~728,34,1
6~6843,42,1
7~11789,5,1
6~906,650,1
7~3063,77,1
7~11198,12,1
7~4220,97,1
7~5005,37,1
7~4385,91,1
7~1867,280,1
7~4326,93,1
4~4014,26,1
5~4014,26,1
6~4014,26,1
7~4014,26,1
4~1118,332,1
5~1118,63,1
6~1118,63,1
7~1118,63,1
5~4386,91,1
6~6091,26,1
7~6091,26,1
5~2756,178,1
6~4147,98,1
7~4147,1,1
6~8295,14,1
7~8295,14,1
7~9733,19,1
7~11200,12,1
6~4624,42,1
7~4624,42,1
7~12395,8,1
6~9898,9,1
7~9898,9,1
7~9215,22,1
6~4487,44,1
7~4487,44,1
6~5089,36,1
7~5089,36,1
7~7600,34,1
7~15380,2,1
4~1030,564,1
5~1030,1,1
6~1030,1,1
7~1030,1,1
5~4968,25,1
6~4968,25,1
7~4968,25,1
5~383,538,1
6~383,538,1
7~383,538,1
4~2070,249,1
5~3990,35,1
6~3990,35,1
7~3990,35,1
5~3915,108,1
6~5754,29,1
7~5754,29,1
6~14101,2,1
7~14101,2,1
6~6844,21,1
7~6844,21,1
5~3970,106,1
6~5224,69,1
7~14718,3,1
7~11201,12,1
7~12750,7,1
6~10289,16,1
7~14102,4,1
7~14719,3,1
6~7208,19,1
7~7208,19,1
7~14103,4,1
7~11790,10,1
6~3830,56,1
7~3830,56,1
7~14720,3,1
6~14104,2,1
7~14104,2,1
7~8296,28,1
7~13628,5,1
7~13112,6,1
3~11,58310,1
4~24,8511,1
5~24,8511,1
6~24,8511,1
7~24,8511,1
3~346,1889,1
4~599,763,1
5~599,89,1
6~599,89,1
7~599,89,1
5~4044,101,1
6~4044,1,1
7~4044,1,1
5~3082,153,1
6~5453,32,1
7~5453,32,1
6~2203,116,1
7~2203,116,1
5~4411,90,1
6~9899,9,1
7~9899,9,1
6~9539,10,1
7~9539,10,1
5~4625,84,1
6~13113,3,1
7~13113,3,1
5~2634,188,1
6~8607,26,1
7~16157,1,1
6~4784,40,1
7~4784,40,1
6~4066,51,1
7~4066,51,1
6~4067,51,1
7~4067,51,1
6~4188,49,1
7~4188,49,1
5~6787,43,1
6~12751,7,1
7~15381,2,1
7~9734,19,1
7~13114,6,1
7~13629,5,1
6~10290,16,1
7~11791,10,1
7~13115,6,1
6~13630,5,1
7~15382,2,1
5~10524,15,1
6~10291,8,1
7~10291,8,1
6~7362,36,1
7~11792,10,1
7~14721,3,1
6~15383,1,1
7~15383,1,1
6~14105,2,1
7~14105,2,1
6~12396,4,1
7~12396,4,1
6~5546,31,1
7~5546,31,1
6~11793,10,1
7~14722,3,1
6~8054,30,1
7~14106,4,1
7~12089,9,1
7~11794,10,1
6~6359,48,1
7~8469,27,1
7~10292,16,1
6~5270,68,1
7~11795,10,1
6~12090,9,1
7~15384,2,1
7~8608,26,1
7~12752,7,1
6~11548,11,1
7~13631,5,1
7~9387,21,1
7~12753,7,1
7~13116,6,1
7~10115,17,1
7~7826,32,1
3~63,14785,1
4~8470,27,1
5~10976,13,1
6~12397,8,1
7~14107,4,1
5~14108,4,1
6~14109,4,1
7~14110,4,1
6~13632,5,1
7~13633,5,1
7~14111,4,1
5~13117,6,1
6~13118,6,1
7~13119,6,1
5~14112,4,1
6~14113,4,1
7~14114,4,1
4~794,446,1
5~794,99,1
6~794,99,1
7~794,99,1
5~3732,39,1
6~3732,39,1
7~3732,39,1
5~5271,68,1
6~7110,38,1
7~7110,1,1
5~6169,51,1
6~10293,16,1
7~13120,6,1
5~5317,67,1
6~9082,23,1
7~14116,4,1
6~7515,35,1
7~16158,1,1
5~4626,84,1
6~7363,36,1
7~13634,5,1
7~16159,1,1
7~11549,11,1
6~6360,48,1
7~15385,2,1
7~12754,7,1
7~11796,10,1
6~8055,30,1
7~10977,13,1
7~8471,27,1
7~8472,27,1
6~6684,44,1
7~10525,15,1
7~9900,18,1
7~12398,8,1
5~11202,12,1
6~11797,10,1
7~15386,2,1
7~9735,19,1
7~9540,20,1
7~10116,17,1
7~12091,9,1
7~8192,29,1
7~14117,4,1
7~12399,8,1
5~8755,25,1
6~8756,25,1
7~11798,10,1
7~10526,15,1
7~10294,16,1
5~16160,1,1
6~16161,1,1
7~16162,1,1
6~15387,2,1
7~15388,2,1
3~412,1522,1
4~1851,283,1
5~2343,72,1
6~2343,72,1
7~2343,72,1
5~7025,40,1
6~5454,32,1
7~5454,32,1
5~5225,23,1
6~5225,23,1
7~5225,23,1
5~3733,117,1
6~11203,6,1
7~11203,6,1
6~3421,66,1
7~3421,66,1
5~12092,3,1
6~12092,3,1
7~12092,3,1
6~12400,4,1
7~12400,4,1
6~10295,8,1
7~10295,8,1
6~12401,4,1
7~12401,4,1
6~5007,37,1
7~5007,37,1
5~4627,28,1
6~4627,28,1
7~4627,28,1
4~1664,330,1
5~6685,44,1
6~6361,24,1
7~6361,24,1
6~7026,20,1
7~7026,20,1
5~7601,34,1
6~8609,13,1
7~8609,13,1
6~6845,21,1
7~6845,21,1
5~6686,44,1
6~13121,3,1
7~13121,3,1
6~6687,22,1
7~6687,22,1
6~7209,19,1
7~7209,19,1
5~2430,208,1
6~4239,48,1
7~4239,48,1
6~5455,32,1
7~5455,32,1
6~2021,128,1
7~2021,128,1
4~799,724,1
5~2572,193,1
6~7722,33,1
7~13635,5,1
6~10978,11,1
5~799,5,1
6~799,5,1
7~799,5,1
5~2256,225,1
6~7364,18,1
7~7364,18,1
6~12402,8,1
7~14118,4,1
5~2448,206,1
6~5547,31,1
7~5547,31,1
6~1771,151,1
7~1771,151,1
7~14119,4,1
6~6362,24,1
7~6362,24,1
6~10979,13,1
7~12093,9,1
7~14120,4,1
6~6688,44,1
7~6961,41,1
7~14723,3,1
6~6846,41,1
7~10296,16,1
7~6846,1,1
7~11550,11,1
5~5148,71,1
6~14121,2,1
7~14121,2,1
7~10978,2,1
6~11204,6,1
7~11204,6,1
6~12403,8,1
7~12404,8,1
6~7602,34,1
7~10117,17,1
6~10980,13,1
7~13636,5,1
7~9736,19,1
6~11551,11,1
7~13122,6,1
6~10722,14,1
7~11205,12,1
7~16163,1,1
6~5052,71,1
7~5052,2,1
7~5548,62,1
5~5090,24,1
6~5090,24,1
7~5090,24,1
6~6847,42,1
7~8297,28,1
7~13637,5,1
7~15389,2,1
6~7827,16,1
7~7827,16,1
7~12755,7,1
7~10723,14,1
7~10297,16,1
7~13638,5,1
6~15390,1,1
7~15390,1,1
6~11799,9,1
7~12405,8,1
7~14724,3,1
7~8874,24,1
7~12756,7,1
6~3971,53,1
7~3971,53,1
7~11799,1,1
6~4704,41,1
7~4704,41,1
4~1721,211,1
5~1721,35,1
6~1721,35,1
7~1721,35,1
5~2928,158,1
6~2928,3,1
7~2928,3,1
5~13123,6,1
6~11800,5,1
7~11800,5,1
6~15391,1,1
7~15391,1,1
6~13124,6,1
7~14725,3,1
7~14726,3,1
6~15392,2,1
7~16164,1,1
7~16165,1,1
5~11206,12,1
6~10724,7,1
7~10724,7,1
6~11552,11,1
7~13639,5,1
7~13125,6,1
6~11801,5,1
7~11801,5,1
6~9541,20,1
7~9901,18,1
7~15393,2,1
6~6453,47,1
7~7723,33,1
7~14727,3,1
7~13126,6,1
7~13640,5,1
6~5226,69,1
7~6454,47,1
7~13127,6,1
7~13641,5,1
7~11553,11,1
1~7,66856,1
2~27,15458,1
3~27,15141,1
4~668,921,1
5~2489,200,1
6~3186,147,1
7~9902,18,1
7~4918,76,1
5~3555,126,1
6~4530,87,1
7~7724,33,1
6~12757,7,1
7~16166,1,1
6~13128,6,1
7~13129,6,1
7~16167,1,1
7~9216,22,1
7~14728,3,1
7~14122,4,1
7~10725,14,1
6~7210,38,1
7~16168,1,1
7~8056,30,1
6~8473,27,1
7~16169,1,1
7~7365,36,1
6~12094,9,1
7~15394,2,1
7~14729,3,1
5~5972,54,1
6~11802,10,1
7~12758,7,1
7~12759,7,1
6~13642,5,1
7~13643,5,1
5~6788,43,1
6~7828,32,1
7~16170,1,1
7~10298,16,1
7~16171,1,1
7~7290,37,1
7~8610,26,1
5~15395,2,1
6~15396,2,1
7~15397,2,1
5~1818,290,1
6~2500,199,1
7~11803,10,1
7~3734,117,1
7~14730,3,1
7~14731,3,1
5~2449,206,1
6~3162,148,1
7~10527,15,1
7~5503,63,1
7~16172,1,1
7~16173,1,1
7~15398,2,1
7~15399,2,1
7~12760,7,1
7~16174,1,1
7~14732,3,1
6~6689,44,1
7~14123,4,1
6~13130,6,1
7~15400,2,1
7~14733,3,1
7~10726,14,1
7~16175,1,1
7~10118,17,1
7~14734,3,1
7~7965,31,1
6~4666,83,1
7~11554,11,1
7~14735,3,1
7~6225,50,1
6~13644,5,1
7~13645,5,1
7~16176,1,1
7~6455,47,1
7~16177,1,1
7~13646,5,1
7~14124,4,1
6~13131,6,1
7~13132,6,1
6~10528,15,1
7~15401,2,1
6~12095,9,1
7~12096,9,1
6~15402,2,1
7~15403,2,1
7~14125,4,1
7~12097,9,1
7~5091,72,1
6~7603,34,1
7~7604,34,1
4~86,9788,1
5~86,2,1
6~86,2,1
7~86,2,1
5~231,3099,1
6~287,2349,1
7~287,3,1
5~1001,582,1
6~1226,465,1
7~1226,1,1
5~983,590,1
6~1316,430,1
7~1316,3,1
5~1041,559,1
6~10529,14,1
7~10529,1,1
5~1031,567,1
6~7829,29,1
7~7829,3,1
6~9737,18,1
7~9737,1,1
5~5610,61,1
6~14126,3,1
7~14126,1,1
7~2723,181,1
7~627,987,1
6~5755,58,1
7~15404,2,1
7~15405,2,1
7~5645,60,1
5~1787,298,1
6~2211,231,1
7~7966,31,1
7~3773,115,1
7~8474,27,1
7~11804,10,1
7~6962,41,1
7~16178,1,1
7~13647,5,1
6~1621,339,1
7~16179,1,1
7~9083,23,1
7~12406,8,1
7~593,1034,1
5~863,678,1
6~1173,484,1
7~4705,82,1
7~2271,223,1
6~10981,13,1
7~14127,4,1
7~11555,11,1
7~11556,11,1
6~7291,37,1
7~8475,27,1
7~15406,2,1
7~15407,2,1
6~1722,316,1
7~14128,4,1
7~8193,29,1
5~2030,255,1
6~2355,215,1
7~12098,9,1
7~4667,83,1
5~1318,432,1
6~13648,5,1
7~16180,1,1
7~13133,6,1
6~9903,18,1
7~16181,1,1
7~5814,57,1
7~16182,1,1
7~2236,228,1
7~13134,6,1
7~6092,52,1
7~2138,240,1
7~15408,2,1
7~14129,4,1
6~1389,408,1
7~6690,44,1
7~2461,205,1
5~4969,75,1
6~7211,38,1
7~12099,9,1
7~9217,22,1
5~4462,89,1
6~5182,70,1
7~13135,6,1
7~9084,23,1
6~1328,428,1
7~6963,41,1
7~2687,184,1
7~4488,88,1
7~2651,187,1
6~13649,5,1
7~16183,1,1
7~14736,3,1
7~16184,1,1
6~5413,65,1
7~13650,5,1
7~7292,37,1
6~9218,22,1
7~10727,14,1
7~8875,24,1
7~9904,18,1
5~12100,9,1
6~14130,4,1
7~14131,4,1
5~5053,73,1
6~8194,29,1
7~13651,5,1
7~15409,2,1
5~4489,88,1
6~5149,71,1
7~10299,16,1
7~8057,30,1
5~1815,291,1
6~2462,205,1
7~10119,17,1
7~3393,134,1
5~4919,76,1
6~5414,65,1
7~12101,9,1
7~8058,30,1
6~6456,47,1
7~15410,2,1
7~8757,25,1
6~7366,36,1
7~15411,2,1
7~12102,9,1
7~11557,11,1
7~12407,8,1
7~13136,6,1
7~1630,338,1
5~2945,163,1
6~3589,124,1
7~8298,28,1
7~5227,69,1
7~16185,1,1
7~14737,3,1
7~8876,24,1
7~13137,6,1
7~16186,1,1
7~14132,4,1
5~1462,383,1
6~1934,270,1
7~6520,46,1
7~5611,61,1
7~16187,1,1
7~10120,17,1
5~8059,30,1
6~12103,9,1
7~14738,3,1
6~4240,96,1
7~12408,8,1
7~16188,1,1
7~3462,130,1
7~16189,1,1
5~3651,121,1
6~8195,29,1
7~16190,1,1
7~16191,1,1
7~14133,4,1
7~15412,2,1
7~12104,9,1
7~8758,25,1
7~12761,7,1
5~2103,245,1
6~8299,28,1
7~11805,10,1
7~12105,9,1
7~14134,4,1
6~16192,1,1
7~16193,1,1
7~12762,7,1
7~15413,2,1
7~10121,17,1
7~13138,6,1
5~2534,196,1
6~2886,167,1
7~8300,28,1
7~5272,68,1
5~5859,56,1
6~7605,34,1
7~13139,6,1
7~10300,16,1
7~10728,14,1
7~12763,7,1
7~11558,11,1
7~12409,8,1
7~3991,105,1
7~14739,3,1
7~14740,3,1
6~13652,5,1
7~14135,4,1
7~16194,1,1
7~12410,8,1
6~10729,14,1
7~13653,5,1
7~11806,10,1
7~13654,5,1
6~16195,1,1
7~16196,1,1
7~16197,1,1
7~11807,10,1
6~4706,82,1
7~10982,13,1
7~7111,39,1
7~16198,1,1
7~13140,6,1
7~16199,1,1
7~15414,2,1
7~16200,1,1
7~16201,1,1
7~10122,17,1
7~2335,217,1
5~1420,396,1
6~1758,306,1
7~6093,52,1
7~3314,139,1
6~2834,171,1
7~9738,19,1
7~4352,92,1
6~15415,2,1
7~16202,1,1
7~16203,1,1
7~13655,5,1
7~3636,122,1
6~8759,25,1
7~14136,4,1
5~1486,374,1
6~1759,306,1
7~9739,19,1
7~3083,153,1
7~7112,39,1
7~12764,7,1
7~2688,184,1
7~14741,3,1
7~16204,1,1
7~16205,1,1
6~6094,52,1
7~14742,3,1
7~14137,4,1
7~3578,125,1
6~10301,16,1
7~11808,10,1
7~7967,31,1
7~9388,21,1
6~11207,12,1
7~15416,2,1
7~14138,4,1
7~16206,1,1
7~16207,1,1
7~10530,15,1
6~15417,2,1
7~16208,1,1
7~16209,1,1
6~5150,71,1
7~10983,13,1
7~5860,56,1
7~15418,2,1
6~8301,28,1
7~15419,2,1
7~12765,7,1
7~10984,13,1
7~16210,1,1
7~16211,1,1
7~6964,41,1
7~15420,2,1
7~9085,23,1
7~13141,6,1
7~11809,10,1
6~16212,1,1
7~16213,1,1
6~6965,41,1
7~16214,1,1
7~16215,1,1
6~12411,8,1
7~12412,8,1
7~16216,1,1
7~15421,2,1
7~12106,9,1
7~16217,1,1
7~16218,1,1
7~8611,26,1
6~12107,9,1
7~13142,6,1
7~16219,1,1
7~15422,2,1
6~4148,99,1
7~16220,1,1
7~16221,1,1
7~14139,4,1
6~14743,3,1
7~16222,1,1
7~15423,2,1
7~14140,4,1
6~15424,2,1
7~15425,2,1
6~16223,1,1
7~16224,1,1
6~5228,69,1
7~16225,1,1
7~12108,9,1
6~13656,5,1
7~15426,2,1
7~13657,5,1
7~12109,9,1
6~15427,2,1
7~16226,1,1
7~16227,1,1
7~14744,3,1
6~4463,89,1
7~14745,3,1
7~13658,5,1
7~16228,1,1
7~4221,97,1
7~15428,2,1
7~12413,8,1
6~12414,8,1
7~13659,5,1
7~16229,1,1
7~15429,2,1
6~16230,1,1
7~16231,1,1
7~13660,5,1
7~4490,88,1
7~12110,9,1
7~14141,4,1
6~14746,3,1
7~14747,3,1
6~14748,3,1
7~14749,3,1
7~13143,6,1
7~7725,33,1
6~10531,15,1
7~13144,6,1
7~15430,2,1
7~11810,10,1
6~11559,11,1
7~13145,6,1
7~14142,4,1
7~16232,1,1
7~11560,11,1
7~4668,83,1
6~12415,8,1
7~15431,2,1
7~13146,6,1
6~14143,4,1
7~14144,4,1
6~16233,1,1
7~16234,1,1
6~12111,9,1
7~12112,9,1
7~12416,8,1
7~5815,57,1
7~16235,1,1
6~9389,21,1
7~16236,1,1
7~16237,1,1
7~6095,52,1
6~12417,8,1
7~12418,8,1
7~11561,11,1
6~4491,88,1
7~8060,30,1
7~5756,58,1
7~13147,6,1
6~9086,23,1
7~9087,23,1
6~1560,353,1
7~4785,80,1
7~2042,253,1
7~16238,1,1
7~12766,7,1
7~16239,1,1
6~14750,3,1
7~14751,3,1
6~15432,2,1
7~16240,1,1
6~14145,4,1
7~15433,2,1
7~15434,2,1
7~8302,28,1
7~13661,5,1
7~9542,20,1
6~6966,41,1
7~13662,5,1
7~7367,36,1
6~13148,6,1
7~16241,1,1
7~13663,5,1
6~14752,3,1
7~16242,1,1
7~15435,2,1
6~5318,67,1
7~5319,67,1
6~9088,23,1
7~11811,10,1
7~10985,13,1
7~14753,3,1
7~4492,88,1
7~9905,18,1
7~5973,54,1
6~9219,22,1
7~12767,7,1
7~10986,13,1
7~15436,2,1
7~15437,2,1
7~16243,1,1
6~8196,29,1
7~8197,29,1
7~9390,21,1
6~8476,27,1
7~8477,27,1
7~15438,2,1
7~16244,1,1
7~3533,127,1
6~12768,7,1
7~12769,7,1
7~15439,2,1
6~7027,40,1
7~7028,40,1
7~14754,3,1
6~16245,1,1
7~16246,1,1
7~6303,49,1
6~12419,8,1
7~15440,2,1
7~13664,5,1
7~15441,2,1
7~12113,9,1
7~16247,1,1
6~15442,2,1
7~15443,2,1
7~16248,1,1
7~8612,26,1
6~11208,12,1
7~11209,12,1
6~11812,10,1
7~16249,1,1
6~7113,39,1
7~7114,39,1
6~13665,5,1
7~13666,5,1
6~12420,8,1
7~12421,8,1
6~6096,52,1
7~16250,1,1
7~12114,9,1
6~16251,1,1
7~16252,1,1
6~7606,34,1
7~16253,1,1
7~13667,5,1
6~10532,15,1
7~10533,15,1
6~14755,3,1
7~15444,2,1
7~16254,1,1
6~10987,13,1
7~14756,3,1
7~11813,10,1
7~16255,1,1
7~4564,86,1
6~9740,19,1
7~9741,19,1
7~16256,1,1
7~12422,8,1
7~10534,15,1
7~7607,34,1
7~16257,1,1
7~16258,1,1
7~11562,11,1
7~9391,21,1
7~16259,1,1
6~7293,37,1
7~7726,33,1
7~14146,4,1
7~9543,20,1
4~9392,21,1
5~7115,13,1
6~7115,13,1
7~7115,13,1
5~8877,8,1
6~8877,8,1
7~8877,8,1
3~101,7961,1
4~1949,190,1
5~1949,26,1
6~1949,26,1
7~1949,26,1
5~10535,15,1
6~8613,13,1
7~8613,13,1
6~14147,2,1
7~14147,2,1
5~4786,80,1
6~5008,37,1
7~5008,37,1
6~6097,26,1
7~6097,26,1
6~7608,17,1
7~7608,17,1
5~7212,38,1
6~8614,13,1
7~8614,13,1
6~6226,25,1
7~6226,25,1
5~7968,31,1
6~6227,25,1
7~6227,25,1
6~11210,6,1
7~11210,6,1
1~224,1610,1
2~224,1610,1
3~393,1586,1
4~1088,525,1
5~1088,4,1
6~1088,4,1
7~1088,4,1
