"SYMBOL","PREV. CLOSE ","IEP","CHNG","%CHNG","FINAL ","FINAL QUANTITY ","VALUE (₹ Crores)","FFM CAP (₹ Crores)","NM 52W H ","NM 52W L "
"GAYAHWS","1.35","1.40","0.05","3.70","1.40","3,710","-","-","1.50","0.55"
"SIGMA","434.25","450.00","15.75","3.63","450.00","6,707","0.30","-","570.00","297.25"
"IWEL","7,648.00","7,925.00","277.00","3.62","7,925.00","3,838","3.04","-","7,999.00","1,330.25"
"HAPPYFORGE","1,100.90","1,140.00","39.10","3.55","1,140.00","3,975","0.45","-","1,140.00","813.20"
"JAICORPLTD","298.30","308.80","10.50","3.52","308.80","26,554","0.82","-","424.00","154.45"
"KAPSTON","323.65","335.00","11.35","3.51","335.00","160","0.01","-","385.00","138.30"
"SINTERCOM","130.60","135.15","4.55","3.48","135.15","10","-","-","140.00","100.00"
"SSFL","312.20","322.90","10.70","3.43","322.90","1,000","0.03","-","417.95","103.00"
"SIL","23.65","24.45","0.80","3.38","24.45","11","-","-","28.20","20.20"
"EIMCOELECO","2,049.65","2,051.15","66.65","3.36","-","-","-","-","2,430.00","570.00"
"GATECHDVR","3.00","3.10","0.10","3.33","3.10","801","-","-","12.40","2.90"
"GLOBE","3.00","3.10","0.10","3.33","3.10","53,250","0.02","-","4.92","1.89"
"SHIVAMAUTO","36.30","37.50","1.20","3.31","37.50","1,063","-","-","49.75","23.75"
"FLAIR","300.25","310.00","9.75","3.25","310.00","12,682","0.39","-","514.40","246.10"
"CALSOFT","15.55","16.05","0.50","3.22","16.05","10","-","-","23.25","12.00"
"JCHAC","1,684.90","1,739.00","54.10","3.21","1,739.00","6,920","1.20","-","1,773.00","938.00"
"3PLAND","31.25","32.25","1.00","3.20","32.25","101","-","-","40.00","18.35"
"DCM","73.65","76.00","2.35","3.19","76.00","3,322","0.03","-","100.50","65.85"
"NATIONALUM","194.35","200.55","6.20","3.19","200.55","11,41,206","22.89","-","206.30","80.65"
"TRIL","649.55","669.90","20.35","3.13","669.90","12,971","0.87","-","769.10","76.00"
"BGLOBAL","3.20","3.30","0.10","3.12","-","-","-","-","4.70","1.95"
"GRPLTD","9,407.25","9,699.95","292.70","3.11","9,699.95","20","0.02","-","9,800.00","3,375.00"
"RILINFRA","29.00","29.90","0.90","3.10","29.90","2,000","0.01","-","260.20","28.00"
"KEL","176.60","182.00","5.40","3.06","182.00","2,400","0.04","-","278.35","65.00"
"NDRAUTO","849.15","875.00","25.85","3.04","875.00","1","-","-","1,059.00","407.00"
"SURANAT&P","18.10","18.65","0.55","3.04","18.65","14,632","0.03","-","20.95","8.85"
"ATAM","210.40","216.75","6.35","3.02","216.75","10","-","-","259.00","136.00"
"CONSOFINVT","226.20","233.00","6.80","3.01","233.00","21","-","-","346.95","125.00"
"GARFIBRES","3,207.90","3,303.25","95.35","2.97","3,303.25","384","0.13","-","3,846.85","2,994.05"
"INCREDIBLE","38.85","40.00","1.15","2.96","40.00","237","-","-","51.65","20.00"
"RCOM","1.70","1.75","0.05","2.94","1.75","23,120","-","-","2.30","1.00"
"KBCGLOBAL","1.70","1.75","0.05","2.94","1.75","22,371","-","-","3.60","1.65"
"NORBTEAEXP","12.00","12.35","0.35","2.92","12.35","1","-","-","15.95","7.00"
"KRITIKA","20.70","21.30","0.60","2.90","21.30","62,001","0.13","-","29.25","9.90"
"SADHAV","215.75","222.00","6.25","2.90","222.00","1,200","0.03","-","274.00","135.00"
"CAREERP","401.50","413.00","11.50","2.86","413.00","1,450","0.06","-","443.55","174.80"
"DPABHUSHAN","1,249.45","1,284.95","35.50","2.84","1,284.95","528","0.07","-","1,454.05","221.55"
"AIRAN","24.70","25.40","0.70","2.83","25.40","3,550","0.01","-","37.00","15.40"
"SAKUMA","30.15","31.00","0.85","2.82","31.00","46,193","0.14","-","31.80","13.02"
"MICEL","51.45","52.90","1.45","2.82","52.90","9,233","0.05","-","59.80","18.05"
"KHANDSE","29.05","29.85","0.80","2.75","29.85","1","-","-","39.90","22.35"
"GEECEE","325.10","334.00","8.90","2.74","334.00","1,067","0.04","-","388.00","144.35"
"SARVESHWAR","9.20","9.45","0.25","2.72","9.45","34,857","0.03","-","15.55","2.19"
"PALASHSECU","136.20","139.90","3.70","2.72","139.90","1","-","-","165.60","97.05"
"NGIL","51.60","53.00","1.40","2.71","53.00","255","-","-","70.00","36.50"
"ANNAPURNA","343.25","352.40","9.15","2.67","352.40","500","0.02","-","427.00","240.00"
"TIRUPATIFL","17.15","17.60","0.45","2.62","17.60","2,812","-","-","21.85","6.75"
"SJS","720.75","739.65","18.90","2.62","739.65","1,518","0.11","-","745.00","471.00"
"GUJAPOLLO","254.65","261.20","6.55","2.57","261.20","10","-","-","331.70","188.60"
"HIRECT","755.90","774.70","18.80","2.49","774.70","6","-","-","824.00","235.60"
"PNC","60.70","62.20","1.50","2.47","62.20","11","-","-","72.00","29.15"
"STARPAPER","231.45","237.00","5.55","2.40","237.00","61","-","-","288.00","168.00"
"AURUM","148.45","152.00","3.55","2.39","152.00","10","-","-","186.40","110.00"
"SVPGLOB","6.30","6.45","0.15","2.38","6.45","4","-","-","13.80","5.80"
"SAGARDEEP","27.60","28.25","0.65","2.36","28.25","1","-","-","40.45","20.15"
"WINSOL","438.85","449.00","10.15","2.31","449.00","8,000","0.36","-","489.00","362.00"
"WSI","146.30","149.65","3.35","2.29","149.65","230","-","-","194.00","74.70"
"IRISDOREME","80.00","81.80","1.80","2.25","81.80","40","-","-","485.95","67.05"
"SOLEX","1,573.65","1,609.00","35.35","2.25","1,609.00","200","0.03","-","1,640.00","387.00"
"KAVVERITEL","15.60","15.95","0.35","2.24","15.95","212","-","-","21.00","4.65"
"ORTINLAB","17.90","18.30","0.40","2.23","18.30","1","-","-","30.35","16.20"
"BRIGHT","8.95","9.15","0.20","2.23","9.15","3,000","-","-","12.50","4.65"
"PARACABLES","85.10","87.00","1.90","2.23","87.00","2,09,677","1.82","-","116.85","34.15"
"HERCULES","483.40","494.15","10.75","2.22","494.15","1,194","0.06","-","584.00","250.90"
"GRWRHITECH","1,613.20","1,648.75","35.55","2.20","1,648.75","503","0.08","-","2,200.00","652.60"
"IVC","11.35","11.60","0.25","2.20","11.60","1,587","-","-","14.75","6.20"
"DELPHIFX","209.10","213.70","4.60","2.20","213.70","115","-","-","473.15","200.00"
"CAMLINFINE","96.90","99.00","2.10","2.17","99.00","4,167","0.04","-","186.35","88.35"
"PIONEEREMB","41.85","42.75","0.90","2.15","42.75","5,435","0.02","-","67.00","36.15"
"AXISCADES","506.15","517.00","10.85","2.14","517.00","1,749","0.09","-","850.00","346.05"
"AKG","23.60","24.10","0.50","2.12","24.10","1,671","-","-","32.60","17.60"
"SINDHUTRAD","23.70","24.20","0.50","2.11","24.20","4,658","0.01","-","45.15","16.70"
"MADHUCON","9.55","9.75","0.20","2.09","9.75","3","-","-","11.70","4.15"
"HARSHA","504.45","515.00","10.55","2.09","515.00","8,441","0.43","-","522.50","360.10"
"TIPSFILMS","507.40","518.00","10.60","2.09","518.00","9","-","-","994.90","419.30"
"UNITEDPOLY","91.60","93.50","1.90","2.07","93.50","8","-","-","124.55","85.00"
"LUMAXTECH","491.80","502.00","10.20","2.07","502.00","26,399","1.33","-","515.00","296.00"
"FSC","4.85","4.95","0.10","2.06","4.95","600","-","-","14.00","4.60"
"HMT","58.55","59.75","1.20","2.05","59.75","18","-","-","73.40","25.60"
"PATINTLOG","22.00","22.45","0.45","2.05","22.45","517","-","-","29.50","12.15"
"PRITIKAUTO","26.95","27.50","0.55","2.04","27.50","3,391","0.01","-","53.50","16.15"
"HPAL","98.25","100.25","2.00","2.04","100.25","1,023","0.01","-","131.00","82.40"
"ARVIND","349.90","357.00","7.10","2.03","357.00","2,973","0.11","-","390.00","117.45"
"PFOCUS","98.70","100.70","2.00","2.03","100.70","1,500","0.02","-","147.95","79.20"
"DIAMINESQ","499.90","510.00","10.10","2.02","510.00","686","0.03","-","630.00","446.10"
"SEL","450.50","459.60","9.10","2.02","459.60","400","0.02","-","524.35","150.00"
"SELMC","69.40","70.80","1.40","2.02","70.80","1","-","-","164.10","67.25"
"ARVEE","193.80","197.70","3.90","2.01","197.70","100","-","-","315.00","98.10"
"RAJSREESUG","62.15","63.40","1.25","2.01","63.40","59","-","-","101.90","36.50"
"ALMONDZ","117.15","119.50","2.35","2.01","119.50","100","-","-","151.70","66.35"
"JHS","17.45","17.80","0.35","2.01","17.80","10","-","-","39.50","15.55"
"DAMODARIND","49.95","50.95","1.00","2.00","50.95","1","-","-","68.60","39.50"
"OSWALSEEDS","27.65","28.20","0.55","1.99","28.20","79","-","-","70.89","26.55"
"ZENITHSTL","7.55","7.70","0.15","1.99","7.70","1,650","-","-","10.15","3.75"
"IEL","12.70","12.95","0.25","1.97","12.95","556","-","-","15.20","7.50"
"UMESLTD","5.10","5.20","0.10","1.96","5.20","3,051","-","-","8.00","3.10"
"HAVISHA","2.55","2.60","0.05","1.96","2.60","8","-","-","3.65","1.60"
"ESSARSHPNG","30.60","31.20","0.60","1.96","31.20","471","-","-","38.95","9.05"
"INGERRAND","4,550.95","4,640.00","89.05","1.96","4,640.00","112","0.05","-","5,000.00","2,670.00"
"GINNIFILA","33.50","34.15","0.65","1.94","34.15","165","-","-","45.20","20.90"
"AROGRANITE","54.35","55.40","1.05","1.93","55.40","200","-","-","69.30","39.15"
"DBSTOCKBRO","54.40","55.45","1.05","1.93","55.45","188","-","-","67.75","22.60"
"ASHOKAMET","18.15","18.50","0.35","1.93","18.50","55","-","-","35.70","16.05"
"UNITEDTEA","351.05","357.70","6.65","1.89","357.70","16","-","-","383.95","256.10"
"AURIONPRO","2,124.80","2,164.90","40.10","1.89","2,164.90","18","-","-","2,794.95","735.00"
"SEQUENT","106.40","108.40","2.00","1.88","108.40","11,410","0.12","-","155.50","71.80"
"SATIA","114.80","116.95","2.15","1.87","116.95","6,834","0.08","-","155.00","104.00"
"DANGEE","8.10","8.25","0.15","1.85","8.25","176","-","-","15.00","7.65"
"FROG","292.55","297.95","5.40","1.85","297.95","800","0.02","-","321.80","131.50"
"BROOKS","87.30","88.90","1.60","1.83","88.90","300","-","-","185.70","58.42"
"ARCHIES","27.40","27.90","0.50","1.82","27.90","520","-","-","42.50","20.50"
"SEAMECLTD","1,123.55","1,144.00","20.45","1.82","1,144.00","400","0.05","-","1,240.00","586.40"
"DRCSYSTEMS","22.10","22.50","0.40","1.81","22.50","8,302","0.02","-","23.37","11.68"
"LICI","1,036.05","1,054.70","18.65","1.80","1,054.70","1,17,791","12.42","-","1,175.00","593.00"
"JISLDVREQS","33.35","33.95","0.60","1.80","33.95","5","-","-","40.55","19.05"
"WELENT","433.25","441.00","7.75","1.79","441.00","4,642","0.20","-","463.50","150.00"
"ADANIENSOL","1,104.35","1,124.00","19.65","1.78","1,124.00","8,093","0.91","-","1,250.00","686.00"
"ASIANENE","289.70","294.85","5.15","1.78","294.85","50","-","-","344.25","89.90"
"MEDICO","36.60","37.25","0.65","1.78","37.25","776","-","-","100.70","36.00"
"BIRLAMONEY","126.75","129.00","2.25","1.78","129.00","115","-","-","148.35","49.25"
"NIBL","33.90","34.50","0.60","1.77","34.50","323","-","-","51.00","17.55"
"MARINE","101.95","103.75","1.80","1.77","103.75","256","-","-","122.90","47.65"
"SIGACHI","68.55","69.75","1.20","1.75","69.75","27,707","0.19","-","95.90","23.61"
"GENCON","40.00","40.70","0.70","1.75","40.70","61","-","-","65.40","35.95"
"BALPHARMA","100.25","102.00","1.75","1.75","102.00","1","-","-","132.45","81.20"
"ALLETEC","240.80","245.00","4.20","1.74","245.00","400","0.01","-","335.40","100.00"
"SPLIL","60.60","61.65","1.05","1.73","61.65","1,055","0.01","-","80.65","52.30"
"SUNDARAM","2.90","2.95","0.05","1.72","2.95","3,954","-","-","4.20","2.05"
"CAPACITE","313.65","319.00","5.35","1.71","319.00","31,079","0.99","-","330.00","162.10"
"ACCURACY","8.80","8.95","0.15","1.70","8.95","908","-","-","18.25","7.05"
"SLONE","94.50","96.10","1.60","1.69","96.10","6,400","0.06","-","119.45","80.25"
"OMINFRAL","118.85","120.85","2.00","1.68","120.85","710","0.01","-","158.55","41.05"
"MEDIASSIST","493.75","502.00","8.25","1.67","502.00","677","0.03","-","564.00","430.55"
"ARROWGREEN","535.10","544.00","8.90","1.66","544.00","35","-","-","599.00","298.20"
"BURNPUR","6.05","6.15","0.10","1.65","6.15","723","-","-","8.80","4.15"
"AKASH","36.30","36.90","0.60","1.65","36.90","1","-","-","50.60","22.50"
"FINCABLES","1,455.95","1,480.00","24.05","1.65","1,480.00","14,596","2.16","-","1,506.90","774.05"
"DCAL","194.50","197.70","3.20","1.65","197.70","11,512","0.23","-","283.00","113.30"
"AJOONI","6.10","6.20","0.10","1.64","6.20","5,222","-","-","6.90","3.38"
"LIBAS","18.40","18.70","0.30","1.63","18.70","10","-","-","27.35","11.05"
"WANBURY","153.50","156.00","2.50","1.63","156.00","1,543","0.02","-","179.35","42.70"
"GMMPFAUDLR","1,284.15","1,305.00","20.85","1.62","1,305.00","831","0.11","-","1,897.95","1,205.60"
"HEXATRADEX","151.55","154.00","2.45","1.62","154.00","250","-","-","170.90","139.55"
"SUVEN","96.20","97.75","1.55","1.61","97.75","305","-","-","129.00","55.15"
"WABAG","966.65","982.10","15.45","1.60","982.10","4,562","0.45","-","1,030.00","435.45"
"DIGIDRIVE","38.25","38.85","0.60","1.57","38.85","50","-","-","108.70","34.70"
"MBLINFRA","44.80","45.50","0.70","1.56","45.50","69","-","-","61.35","19.25"
"NECCLTD","25.60","26.00","0.40","1.56","26.00","6,949","0.02","-","37.40","18.05"
"AUROPHARMA","1,196.35","1,215.00","18.65","1.56","1,215.00","12,323","1.50","-","1,245.70","584.65"
"ALBERTDAVD","1,127.50","1,145.00","17.50","1.55","1,145.00","1","-","-","1,607.90","558.20"
"ALPA","90.30","91.70","1.40","1.55","91.70","1","-","-","115.00","59.80"
"RBS","87.10","88.45","1.35","1.55","88.45","3,200","0.03","-","123.45","86.00"
"GEOJITFSL","101.15","102.70","1.55","1.53","102.70","3,786","0.04","-","116.10","42.70"
"MMFL","1,253.20","1,272.40","19.20","1.53","1,272.40","2,603","0.33","-","1,300.00","825.00"
"GUJRAFFIA","42.50","43.15","0.65","1.53","43.15","1","-","-","63.40","26.40"
"DIGISPICE","29.45","29.90","0.45","1.53","29.90","2,716","0.01","-","47.50","18.80"
"PARSVNATH","13.15","13.35","0.20","1.52","13.35","34","-","-","17.25","7.10"
"ORCHPHARMA","1,024.55","1,040.00","15.45","1.51","1,040.00","324","0.03","-","1,359.95","395.10"
"RKEC","89.65","91.00","1.35","1.51","91.00","736","0.01","-","120.50","51.45"
"SADBHIN","6.65","6.75","0.10","1.50","6.75","491","-","-","9.25","3.50"
