"SYMBOL","PREV. CLOSE ","IEP","CHNG","%CHNG","FINAL ","FINAL QUANTITY ","VALUE (₹ Crores)","FFM CAP (₹ Crores)","NM 52W H ","NM 52W L "
"OWAIS","1,259.70","1,275.00","15.30","1.21","1,275.00","1,600","0.20","-","1,322.65","231.35"
"SOUTHWEST","107.30","108.60","1.30","1.21","108.60","2","-","-","188.20","98.10"
"DSSL","1,247.90","1,263.00","15.10","1.21","1,263.00","139","0.02","-","1,468.80","423.15"
"TRIDENT","37.65","37.75","0.45","1.21","37.75","23,657","0.09","-","52.90","31.60"
"SHAH","4.15","4.20","0.05","1.20","4.20","68,098","0.03","-","5.50","2.50"
"JUNIPER","436.40","441.65","5.25","1.20","441.65","524","0.02","-","538.25","365.00"
"NACLIND","66.65","67.45","0.80","1.20","67.45","522","-","-","105.00","55.55"
"HINDWAREAP","417.30","422.30","5.00","1.20","422.30","2,524","0.11","-","664.10","315.00"
"DEVIT","121.55","123.00","1.45","1.19","123.00","166","-","-","174.75","94.00"
"NRL","76.05","76.95","0.90","1.18","76.95","821","0.01","-","106.50","57.37"
"ASPINWALL","271.30","274.50","3.20","1.18","274.50","1","-","-","359.00","205.10"
"COCHINSHIP","1,971.00","1,994.05","23.05","1.17","1,994.05","42,352","8.45","-","2,100.00","239.60"
"BAIDFIN","21.60","21.85","0.25","1.16","21.85","4,136","0.01","-","48.75","18.50"
"MUTHOOTMF","221.30","223.85","2.55","1.15","223.85","695","0.02","-","281.00","196.60"
"ORIENTPPR","52.10","52.70","0.60","1.15","52.70","11,056","0.06","-","59.80","40.00"
"PANAMAPET","368.70","372.90","4.20","1.14","372.90","2,746","0.10","-","399.00","276.00"
"KSL","870.10","879.95","9.85","1.13","879.95","327","0.03","-","1,074.70","325.25"
"XCHANGING","114.95","116.25","1.30","1.13","116.25","4,197","0.05","-","176.50","60.30"
"BHARATWIRE","288.55","291.80","3.25","1.13","291.80","644","0.02","-","400.60","158.00"
"UMANGDAIRY","93.95","95.00","1.05","1.12","95.00","62","-","-","112.00","58.45"
"MANGCHEFER","107.75","108.95","1.20","1.11","108.95","45","-","-","156.10","90.80"
"WILLAMAGOR","36.05","36.45","0.40","1.11","36.45","1","-","-","49.40","19.05"
"VERANDA","175.75","177.70","1.95","1.11","177.70","3,287","0.06","-","336.90","151.60"
"POKARNA","557.35","563.45","6.10","1.09","563.45","118","0.01","-","608.80","350.00"
"BUTTERFLY","771.65","780.00","8.35","1.08","780.00","152","0.01","-","1,308.40","737.05"
"JBMA","2,117.20","2,140.00","22.80","1.08","2,140.00","4,622","0.99","-","2,428.35","787.95"
"SUNDARMHLD","283.35","286.40","3.05","1.08","286.40","1,063","0.03","-","297.00","85.40"
"GANDHITUBE","810.40","819.00","8.60","1.06","819.00","20","-","-","935.00","535.70"
"ZEEMEDIA","14.25","14.40","0.15","1.05","14.40","27,220","0.04","-","18.30","7.35"
"APOLSINHOT","1,703.10","1,721.00","17.90","1.05","1,721.00","1","-","-","2,652.00","1,270.00"
"CONFIPET","85.80","86.70","0.90","1.05","86.70","6,384","0.06","-","120.00","62.95"
"CYBERTECH","148.10","149.65","1.55","1.05","149.65","20","-","-","215.40","119.10"
"INDSWFTLAB","105.75","106.85","1.10","1.04","106.85","101","-","-","138.45","67.05"
"PPAP","198.75","200.80","2.05","1.03","200.80","210","-","-","294.00","163.00"
"VASCONEQ","63.40","64.05","0.65","1.03","64.05","3,966","0.03","-","93.15","35.75"
"RSYSTEMS","444.35","448.90","4.55","1.02","448.90","93","-","-","599.00","281.15"
"IFCI","58.80","59.40","0.60","1.02","59.40","1,24,461","0.74","-","71.80","10.95"
"YATRA","137.50","138.90","1.40","1.02","138.90","500","0.01","-","194.00","124.55"
"LGBFORGE","9.85","9.95","0.10","1.02","9.95","462","-","-","14.75","7.80"
"BPL","98.70","99.70","1.00","1.01","99.70","966","0.01","-","127.50","58.20"
"NELCO","760.10","767.80","7.70","1.01","767.80","1,570","0.12","-","893.80","607.00"
"EPIGRAL","1,224.30","1,236.70","12.40","1.01","1,236.70","119","0.01","-","1,443.25","862.05"
"DIVGIITTS","765.20","772.95","7.75","1.01","772.95","6","-","-","1,150.00","650.05"
"TVSSCS","178.20","180.00","1.80","1.01","180.00","38,617","0.70","-","258.00","145.00"
"DVL","332.55","335.90","3.35","1.01","335.90","127","-","-","558.70","231.30"
"HINDZINC","706.90","714.00","7.10","1.00","714.00","30,980","2.21","-","807.70","284.60"
"EXCELINDUS","1,057.50","1,068.10","10.60","1.00","1,068.10","45","-","-","1,134.60","699.80"
"SAFARI","2,048.55","2,069.05","20.50","1.00","2,069.05","72","0.01","-","2,315.00","1,322.40"
"JPPOWER","20.05","20.25","0.20","1.00","20.25","1,46,135","0.30","-","24.00","5.60"
"AVONMORE","125.50","126.75","1.25","1.00","126.75","3","-","-","140.95","62.00"
"SONATSOFTW","548.55","554.00","5.45","0.99","554.00","5,594","0.31","-","870.00","475.13"
"SICALLOG","166.10","167.75","1.65","0.99","167.75","200","-","-","298.25","97.00"
"WEBELSOLAR","604.00","610.00","6.00","0.99","610.00","1,148","0.07","-","743.95","82.20"
"ORISSAMINE","5,832.10","5,890.00","57.90","0.99","5,890.00","57","0.03","-","8,344.00","2,638.05"
"SOMANYCERA","710.45","717.50","7.05","0.99","717.50","216","0.02","-","819.00","561.20"
"AARVEEDEN","25.20","25.45","0.25","0.99","25.45","2","-","-","42.70","19.50"
"3MINDIA","30,942.10","31,248.95","306.85","0.99","31,248.95","35","0.11","-","39,876.10","23,805.00"
"VIKASLIFE","5.05","5.10","0.05","0.99","5.10","81,055","0.04","-","8.00","2.80"
"MANAKALUCO","25.30","25.55","0.25","0.99","25.55","2","-","-","46.00","20.75"
"DRONE","289.15","292.00","2.85","0.99","292.00","3,000","0.09","-","310.00","112.20"
"BIKAJI","556.55","562.00","5.45","0.98","562.00","1,708","0.10","-","605.90","372.30"
"DPWIRES","478.35","483.00","4.65","0.97","483.00","332","0.02","-","681.45","352.17"
"DCMSRIND","226.55","228.75","2.20","0.97","228.75","132","-","-","235.15","71.25"
"GRAVITA","1,139.00","1,150.00","11.00","0.97","1,150.00","2,944","0.34","-","1,166.00","571.00"
"INDUSTOWER","342.75","346.00","3.25","0.95","346.00","22,082","0.76","-","366.55","152.35"
"RAMKY","496.30","501.00","4.70","0.95","501.00","50","-","-","1,009.05","347.05"
"ASAL","896.55","905.00","8.45","0.94","905.00","1,868","0.17","-","956.40","307.85"
"DBOL","122.25","123.40","1.15","0.94","123.40","1,171","0.01","-","191.70","114.90"
"ROSSELLIND","479.50","484.00","4.50","0.94","484.00","700","0.03","-","549.00","266.60"
"DYCL","586.40","591.90","5.50","0.94","591.90","772","0.05","-","622.65","222.00"
"EQUIPPP","26.70","26.95","0.25","0.94","26.95","3","-","-","36.30","23.45"
"SGIL","331.20","334.30","3.10","0.94","334.30","24","-","-","435.00","145.60"
"RANASUG","21.40","21.60","0.20","0.93","21.60","503","-","-","30.40","18.20"
"STYLAMIND","1,559.50","1,574.00","14.50","0.93","1,574.00","182","0.03","-","1,970.70","1,440.00"
"MOREPENLAB","48.45","48.90","0.45","0.93","48.90","7,860","0.04","-","56.40","25.30"
"WEL","979.90","989.00","9.10","0.93","989.00","202","0.02","-","1,279.90","210.05"
"PPL","417.15","421.00","3.85","0.92","421.00","874","0.04","-","493.00","160.00"
"HINDCOPPER","368.40","371.80","3.40","0.92","371.80","33,558","1.25","-","415.80","106.10"
"GVKPIL","10.85","10.95","0.10","0.92","10.95","36,093","0.04","-","17.00","2.35"
"IONEXCHANG","555.00","560.10","5.10","0.92","560.10","1,375","0.08","-","686.95","374.40"
"SMSPHARMA","206.90","208.80","1.90","0.92","208.80","448","0.01","-","219.40","82.35"
"SANSERA","1,035.30","1,044.80","9.50","0.92","1,044.80","51","0.01","-","1,113.85","760.20"
"CSBBANK","332.95","336.00","3.05","0.92","336.00","1,051","0.04","-","422.25","263.10"
"RAIN","169.35","170.90","1.55","0.92","170.90","8,622","0.15","-","219.60","140.25"
"KAUSHALYA","713.40","719.90","6.50","0.91","719.90","1","-","-","1,048.75","3.95"
"YATHARTH","406.70","410.40","3.70","0.91","410.40","1,020","0.04","-","504.90","306.10"
"APTUS","309.20","312.00","2.80","0.91","312.00","1,066","0.03","-","392.00","239.70"
"AGROPHOS","44.45","44.85","0.40","0.90","44.85","50","-","-","65.75","32.90"
"ACEINTEG","33.35","33.65","0.30","0.90","33.65","1","-","-","55.50","29.60"
"BAJEL","261.95","264.30","2.35","0.90","264.30","840","0.02","-","296.00","108.25"
"YAARI","11.15","11.25","0.10","0.90","11.25","219","-","-","15.65","6.70"
"VINYLINDIA","357.40","360.60","3.20","0.90","360.60","1","-","-","545.95","311.40"
"INDIGOPNTS","1,382.45","1,394.80","12.35","0.89","1,394.80","96","0.01","-","1,679.95","1,250.00"
"JINDWORLD","335.95","338.95","3.00","0.89","338.95","3","-","-","436.95","267.75"
"SUVIDHAA","5.60","5.65","0.05","0.89","5.65","1,326","-","-","10.50","3.60"
"VENUSREM","297.15","299.80","2.65","0.89","299.80","35","-","-","430.00","195.00"
"BEDMUTHA","269.35","271.75","2.40","0.89","271.75","340","0.01","-","314.40","54.05"
"GPTHEALTH","146.60","147.90","1.30","0.89","147.90","495","0.01","-","219.90","139.60"
"GODFRYPHLP","3,955.05","3,990.00","34.95","0.88","3,990.00","283","0.11","-","4,288.00","1,620.00"
"KPITTECH","1,551.30","1,565.00","13.70","0.88","1,565.00","2,860","0.45","-","1,764.00","961.00"
"RELINFRA","170.00","171.50","1.50","0.88","171.50","6,786","0.12","-","308.00","131.50"
"RUSTOMJEE","712.75","719.00","6.25","0.88","719.00","1,102","0.08","-","750.00","499.50"
"BIRLACORPN","1,426.85","1,439.25","12.40","0.87","1,439.25","242","0.03","-","1,802.00","1,015.00"
"HERITGFOOD","362.85","366.00","3.15","0.87","366.00","2,486","0.09","-","371.80","202.65"
"LAL","23.20","23.40","0.20","0.86","23.40","550","-","-","29.00","0.71"
"HINDNATGLS","17.60","17.60","0.15","0.86","-","-","-","-","25.75","9.50"
"PRUDENT","1,730.15","1,745.00","14.85","0.86","1,745.00","61","0.01","-","1,767.70","885.35"
"SHIVAMILLS","94.05","94.85","0.80","0.85","94.85","2","-","-","119.35","68.20"
"REPCOHOME","496.80","501.00","4.20","0.85","501.00","847","0.04","-","543.00","222.10"
"HONASA","426.30","429.90","3.60","0.84","429.90","374","0.02","-","511.00","256.30"
"PRIVISCL","1,074.50","1,083.55","9.05","0.84","1,083.55","6","-","-","1,371.00","975.00"
"TALBROAUTO","291.50","293.95","2.45","0.84","293.95","604","0.02","-","351.00","104.40"
"PFC","513.20","517.50","4.30","0.84","517.50","1,47,727","7.64","-","521.30","137.72"
"VTL","459.65","463.50","3.85","0.84","463.50","2,509","0.12","-","475.50","318.60"
"DECCANCE","608.95","614.05","5.10","0.84","614.05","20","-","-","668.45","445.10"
"SHARDAMOTR","1,566.25","1,579.35","13.10","0.84","1,579.35","86","0.01","-","1,645.50","750.50"
"RRKABEL","1,806.90","1,822.00","15.10","0.84","1,822.00","1,129","0.21","-","1,901.95","1,136.80"
"MCX","3,808.20","3,840.00","31.80","0.84","3,840.00","1,722","0.66","-","4,270.00","1,372.10"
"POCL","707.10","713.00","5.90","0.83","713.00","16","-","-","906.30","362.50"
"PTL","42.10","42.45","0.35","0.83","42.45","1,003","-","-","54.10","32.10"
"PASUPTAC","36.15","36.45","0.30","0.83","36.45","25","-","-","51.30","27.80"
"EXIDEIND","494.35","498.45","4.10","0.83","498.45","80,203","4.00","-","517.40","203.85"
"NUVAMA","4,860.30","4,900.45","40.15","0.83","4,900.45","414","0.20","-","5,500.00","2,100.00"
"SPARC","217.90","219.70","1.80","0.83","219.70","1,538","0.03","-","472.80","181.35"
"RAMASTEEL","12.25","12.35","0.10","0.82","12.35","19,358","0.02","-","16.83","10.68"
"MOL","79.90","80.55","0.65","0.81","80.55","907","0.01","-","104.50","71.90"
"JBCHEPHARM","1,782.05","1,796.50","14.45","0.81","1,796.50","621","0.11","-","1,940.00","1,031.40"
"CRISIL","4,241.60","4,275.95","34.35","0.81","4,275.95","51","0.02","-","5,268.50","3,660.70"
"JAGSNPHARM","334.50","337.20","2.70","0.81","337.20","350","0.01","-","514.85","273.60"
"SEPC","18.60","18.75","0.15","0.81","18.75","27,108","0.05","-","27.70","7.43"
"VINDHYATEL","2,245.65","2,263.75","18.10","0.81","2,263.75","1","-","-","2,898.70","1,819.00"
"IOB","74.50","75.10","0.60","0.81","75.10","4,75,744","3.57","-","83.75","23.70"
"ICEMAKE","510.15","514.25","4.10","0.80","514.25","112","0.01","-","747.45","331.00"
"NAGREEKEXP","31.15","31.40","0.25","0.80","31.40","200","-","-","49.70","20.96"
"KDDL","2,493.30","2,513.30","20.00","0.80","2,513.30","20","0.01","-","3,119.90","1,070.00"
"MRPL","218.25","220.00","1.75","0.80","220.00","28,522","0.63","-","289.25","64.10"
"MAZDA","1,322.30","1,332.90","10.60","0.80","1,332.90","28","-","-","1,660.95","832.30"
"GANECOS","1,160.70","1,170.00","9.30","0.80","1,170.00","363","0.04","-","1,205.95","811.15"
"RKSWAMY","281.15","283.40","2.25","0.80","283.40","2,504","0.07","-","312.00","227.65"
"PARKHOTELS","181.25","182.70","1.45","0.80","182.70","165","-","-","235.00","167.80"
"JMA","100.15","100.95","0.80","0.80","100.95","50","-","-","140.70","65.45"
"NTPC","369.65","372.60","2.95","0.80","372.60","37,853","1.41","-","380.50","171.85"
"MEDPLUS","714.30","720.00","5.70","0.80","720.00","631","0.05","-","978.00","598.60"
"PDSL","445.00","448.55","3.55","0.80","448.55","49","-","-","666.00","315.95"
"USHAMART","351.30","354.10","2.80","0.80","354.10","516","0.02","-","394.50","225.55"
"MANAPPURAM","175.80","177.20","1.40","0.80","177.20","34,480","0.61","-","207.30","109.50"
"PNCINFRA","527.75","531.95","4.20","0.80","531.95","5,326","0.28","-","574.80","304.05"
"JYOTHYLAB","421.10","424.45","3.35","0.80","424.45","923","0.04","-","554.00","200.35"
"20MICRONS","169.80","171.15","1.35","0.80","171.15","270","-","-","201.00","89.50"
"FACT","710.65","716.30","5.65","0.80","716.30","840","0.06","-","908.00","295.00"
"KIOCL","453.20","456.80","3.60","0.79","456.80","330","0.02","-","577.35","184.50"
"NLCINDIA","227.05","228.85","1.80","0.79","228.85","4,804","0.11","-","293.75","89.10"
"MTNL","37.90","38.20","0.30","0.79","38.20","28,143","0.11","-","52.40","18.90"
"PVRINOX","1,339.55","1,350.15","10.60","0.79","1,350.15","2,770","0.37","-","1,875.45","1,247.90"
"MAGADSUGAR","651.00","656.15","5.15","0.79","656.15","10","-","-","865.65","352.65"
"BRIGADE","1,276.85","1,286.95","10.10","0.79","1,286.95","2,135","0.27","-","1,300.00","535.15"
"SHILPAMED","493.30","497.20","3.90","0.79","497.20","629","0.03","-","561.60","228.50"
"TIMETECHNO","265.65","267.75","2.10","0.79","267.75","1,645","0.04","-","300.00","86.55"
"KAYNES","3,345.70","3,372.10","26.40","0.79","3,372.10","721","0.24","-","3,643.70","1,303.00"
"FIEMIND","1,230.30","1,240.00","9.70","0.79","1,240.00","373","0.05","-","1,299.00","822.00"
"CIEINDIA","539.40","543.65","4.25","0.79","543.65","2,655","0.14","-","579.75","406.80"
"TAJGVK","362.00","364.85","2.85","0.79","364.85","1,039","0.04","-","422.65","212.70"
"IRFC","184.55","186.00","1.45","0.79","186.00","3,95,777","7.36","-","192.80","31.75"
"INDRAMEDCO","241.90","243.80","1.90","0.79","243.80","50","-","-","282.80","85.60"
"AMRUTANJAN","694.95","700.40","5.45","0.78","700.40","66","-","-","804.00","563.90"
"SHRIPISTON","1,908.75","1,923.70","14.95","0.78","1,923.70","66","0.01","-","2,391.80","948.90"
"TEXRAIL","198.15","199.70","1.55","0.78","199.70","44,228","0.88","-","231.80","54.60"
"EMAMIPAP","108.75","109.60","0.85","0.78","109.60","13","-","-","150.00","107.10"
"SENCO","866.25","873.00","6.75","0.78","873.00","432","0.04","-","1,066.50","358.45"
"USK","57.95","58.40","0.45","0.78","58.40","4,022","0.02","-","72.50","29.00"
"LAXMICOT","32.20","32.45","0.25","0.78","32.45","2","-","-","38.80","18.50"
"IREDA","193.30","194.80","1.50","0.78","194.80","3,01,414","5.87","-","214.80","50.00"
"RATNAVEER","116.00","116.90","0.90","0.78","116.90","1,074","0.01","-","154.00","109.55"
"FILATFASH","12.90","13.00","0.10","0.78","13.00","3,791","-","-","14.30","11.50"
"MINDTECK","277.85","280.00","2.15","0.77","280.00","214","0.01","-","351.95","119.00"
"ARE&M","1,221.55","1,231.00","9.45","0.77","1,231.00","8,769","1.08","-","1,277.50","596.30"
"UDS","291.20","293.45","2.25","0.77","293.45","484","0.01","-","384.90","235.30"
"GOCLCORP","382.55","385.50","2.95","0.77","385.50","142","0.01","-","640.85","303.60"
"BANSWRAS","149.15","150.30","1.15","0.77","150.30","568","0.01","-","188.65","133.10"
"STEELXIND","13.05","13.15","0.10","0.77","13.15","19,961","0.03","-","18.40","7.80"
"COROMANDEL","1,246.45","1,256.00","9.55","0.77","1,256.00","164","0.02","-","1,299.35","913.55"
"BSOFT","635.15","640.00","4.85","0.76","640.00","14,168","0.91","-","861.85","327.10"
"NEWGEN","884.95","891.70","6.75","0.76","891.70","197","0.02","-","1,058.10","302.53"
"KARURVYSYA","197.15","198.65","1.50","0.76","198.65","4,689","0.09","-","209.30","104.50"
"SKMEGGPROD","238.20","240.00","1.80","0.76","240.00","564","0.01","-","560.40","180.35"
"SOLARINDS","9,686.85","9,760.00","73.15","0.76","9,760.00","369","0.36","-","10,450.00","3,453.35"
"HFCL","106.05","106.85","0.80","0.75","106.85","1,51,421","1.62","-","117.80","61.50"
"INDIASHLTR","583.60","588.00","4.40","0.75","588.00","5","-","-","725.10","519.15"
"SYMPHONY","1,054.65","1,062.60","7.95","0.75","1,062.60","1,123","0.12","-","1,079.90","820.00"
"SHALBY","279.85","281.95","2.10","0.75","281.95","528","0.01","-","339.50","136.20"
"GOKULAGRO","140.40","141.45","1.05","0.75","141.45","1,543","0.02","-","165.75","95.00"
"JSL","722.40","727.75","5.35","0.74","727.75","4,048","0.29","-","748.00","276.10"
"BERGEPAINT","486.35","489.95","3.60","0.74","489.95","3,536","0.17","-","679.75","478.00"
"GSFC","223.30","224.95","1.65","0.74","224.95","12,788","0.29","-","322.25","146.15"
"MARICO","602.55","607.00","4.45","0.74","607.00","5,052","0.31","-","615.90","486.30"
"JSFB","589.60","593.95","4.35","0.74","593.95","214","0.01","-","698.75","365.00"
"UCOBANK","61.00","61.45","0.45","0.74","61.45","3,75,360","2.31","-","70.65","25.85"
"JKTYRE","420.85","423.95","3.10","0.74","423.95","5,891","0.25","-","553.95","179.55"
"SANDHAR","530.70","534.60","3.90","0.73","534.60","927","0.05","-","590.00","246.70"
"SCI","259.10","261.00","1.90","0.73","261.00","14,421","0.38","-","290.75","94.60"
"ISGEC","1,206.95","1,215.80","8.85","0.73","1,215.80","491","0.06","-","1,247.00","515.10"
"RCF","163.80","165.00","1.20","0.73","165.00","60,924","1.01","-","190.00","101.15"
"MOTHERSON","143.70","144.75","1.05","0.73","144.75","43,572","0.63","-","145.70","78.35"
"POLYPLEX","829.95","836.00","6.05","0.73","836.00","119","0.01","-","1,397.00","760.85"
"PENIND","144.25","145.30","1.05","0.73","145.30","4,496","0.07","-","163.40","67.60"
"ARIHANTCAP","68.80","69.30","0.50","0.73","69.30","2,624","0.02","-","84.35","34.25"
"ARCHIDPLY","103.90","104.65","0.75","0.72","104.65","100","-","-","148.40","64.00"
"BALAJITELE","69.35","69.85","0.50","0.72","69.85","128","-","-","143.70","40.65"
"AMBER","3,733.10","3,760.00","26.90","0.72","3,760.00","108","0.04","-","4,614.20","2,065.40"
"AUTOIND","124.95","125.85","0.90","0.72","125.85","1,580","0.02","-","165.30","64.15"
"STARCEMENT","215.35","216.90","1.55","0.72","216.90","1,506","0.03","-","256.00","130.00"
"HEUBACHIND","389.20","392.00","2.80","0.72","392.00","46","-","-","654.90","300.00"
"EMKAY","147.65","148.70","1.05","0.71","148.70","533","0.01","-","184.90","72.25"
"GOKEX","844.00","850.00","6.00","0.71","850.00","88","0.01","-","1,022.95","394.20"
"ELIN","154.75","155.85","1.10","0.71","155.85","100","-","-","194.35","129.30"
"OIL","668.30","673.05","4.75","0.71","673.05","6,162","0.41","-","675.00","240.80"
"VGUARD","373.20","375.85","2.65","0.71","375.85","1,710","0.06","-","393.75","239.00"
"MANORAMA","595.80","600.00","4.20","0.70","600.00","165","0.01","-","670.35","279.40"
"SARDAEN","241.25","242.95","1.70","0.70","242.95","5,374","0.13","-","283.95","112.40"
"VISHNU","319.75","322.00","2.25","0.70","322.00","414","0.01","-","385.50","247.00"
"MTARTECH","2,121.10","2,136.00","14.90","0.70","2,136.00","713","0.15","-","2,920.35","1,661.00"
"ZODIACLOTH","113.95","114.75","0.80","0.70","114.75","10","-","-","151.00","95.05"
"KAMOPAINTS","171.10","172.30","1.20","0.70","172.30","512","0.01","-","245.00","105.18"
"LODHA","1,349.45","1,358.90","9.45","0.70","1,358.90","1,209","0.16","-","1,379.85","500.00"
"PAISALO","64.35","64.80","0.45","0.70","64.80","1,010","0.01","-","99.63","23.85"
"PGEL","2,578.00","2,596.00","18.00","0.70","2,596.00","277","0.07","-","2,678.00","1,451.15"
"VEDL","459.70","462.90","3.20","0.70","462.90","75,288","3.49","-","506.75","208.00"
"ALPHAGEO","353.55","356.00","2.45","0.69","356.00","22","-","-","445.00","229.00"
"BIGBLOC","238.95","240.60","1.65","0.69","240.60","1,150","0.03","-","284.40","138.25"
"KIRLOSIND","6,167.65","6,210.00","42.35","0.69","6,210.00","47","0.03","-","6,698.90","2,524.90"
"RITCO","255.05","256.80","1.75","0.69","256.80","100","-","-","309.45","164.80"
"VENKEYS","1,823.55","1,836.00","12.45","0.68","1,836.00","13","-","-","2,314.90","1,531.00"
"PRICOLLTD","444.40","447.40","3.00","0.68","447.40","1,751","0.08","-","468.50","211.00"
"GMRP&UI","66.70","67.15","0.45","0.67","67.15","4,696","0.03","-","74.05","16.70"
"DEEPINDS","283.50","285.40","1.90","0.67","285.40","438","0.01","-","331.75","168.50"
"GMBREW","650.50","654.85","4.35","0.67","654.85","728","0.05","-","688.70","442.08"
"EMSLIMITED","464.40","467.50","3.10","0.67","467.50","1,544","0.07","-","599.75","246.50"
"TNPL","255.30","257.00","1.70","0.67","257.00","1,284","0.03","-","331.00","201.90"
"SUZLON","45.20","45.50","0.30","0.66","45.50","1,16,465","0.53","-","50.60","10.10"
"LANDMARK","670.55","675.00","4.45","0.66","675.00","505","0.03","-","905.00","658.00"
"ALKYLAMINE","1,948.75","1,961.65","12.90","0.66","1,961.65","99","0.02","-","2,797.70","1,808.00"
"KEYFINSERV","181.90","183.10","1.20","0.66","183.10","55","-","-","220.00","90.20"
"CONTROLPR","819.60","825.00","5.40","0.66","825.00","39","-","-","1,080.00","595.00"
"HMAAGRO","53.15","53.50","0.35","0.66","53.50","1,006","0.01","-","84.05","48.50"
"ATGL","972.60","979.00","6.40","0.66","979.00","2,545","0.25","-","1,259.40","522.00"
"HCC","38.05","38.30","0.25","0.66","38.30","31,465","0.12","-","46.06","17.02"
"COFORGE","5,263.60","5,298.00","34.40","0.65","5,298.00","1,814","0.96","-","6,847.45","4,287.25"
"SATINDLTD","91.85","92.45","0.60","0.65","92.45","109","-","-","145.60","70.40"
"MAHSEAMLES","753.10","758.00","4.90","0.65","758.00","536","0.04","-","1,097.00","434.65"
"MAZDOCK","3,134.65","3,155.00","20.35","0.65","3,155.00","14,386","4.54","-","3,382.90","765.20"
"ITDC","672.65","677.00","4.35","0.65","677.00","127","0.01","-","878.95","315.00"
"CLSEL","224.55","226.00","1.45","0.65","226.00","466","0.01","-","269.95","160.80"
"ITI","305.35","307.30","1.95","0.64","307.30","5,939","0.18","-","384.30","104.50"
"FORTIS","454.95","457.85","2.90","0.64","457.85","626","0.03","-","479.45","271.90"
"PRAKASH","164.80","165.85","1.05","0.64","165.85","1,801","0.03","-","223.60","56.80"
"BHANDARI","7.85","7.90","0.05","0.64","7.90","12,095","0.01","-","12.45","3.85"
"INDHOTEL","581.10","584.80","3.70","0.64","584.80","11,091","0.65","-","622.50","371.60"
"ZYDUSWELL","1,742.85","1,753.90","11.05","0.63","1,753.90","103","0.02","-","1,795.00","1,425.05"
"RAMCOIND","237.20","238.70","1.50","0.63","238.70","1,302","0.03","-","274.50","145.40"
"APOLLO","111.30","112.00","0.70","0.63","112.00","2,836","0.03","-","161.70","33.30"
"TATVA","1,073.25","1,080.00","6.75","0.63","1,080.00","128","0.01","-","1,887.95","1,061.35"
"ADANIENT","3,289.05","3,309.65","20.60","0.63","3,309.65","5,099","1.69","-","3,457.85","2,142.00"
"ADVANIHOTR","72.20","72.65","0.45","0.62","72.65","571","-","-","91.65","39.30"
"BOROLTD","337.95","340.05","2.10","0.62","340.05","4,811","0.16","-","482.20","333.10"
"CYIENTDLM","659.90","664.00","4.10","0.62","664.00","678","0.05","-","883.80","403.00"
"PSB","64.40","64.80","0.40","0.62","64.80","59,686","0.39","-","77.50","29.45"
"SHALPAINTS","153.20","154.15","0.95","0.62","154.15","1","-","-","224.15","146.00"
"CENTRUM","40.35","40.60","0.25","0.62","40.60","280","-","-","46.50","16.85"
"FEDFINA","121.20","121.95","0.75","0.62","121.95","280","-","-","153.60","108.75"
"BECTORFOOD","1,213.45","1,220.95","7.50","0.62","1,220.95","44","0.01","-","1,373.95","725.00"
"INDNIPPON","665.10","669.20","4.10","0.62","669.20","50","-","-","812.85","363.40"
"JTLIND","219.65","221.00","1.35","0.61","221.00","3,332","0.07","-","278.00","158.50"
"HINDALCO","677.85","682.00","4.15","0.61","682.00","32,746","2.23","-","698.70","404.35"
"HEMIPROP","204.25","205.50","1.25","0.61","205.50","1,183","0.02","-","264.95","93.10"
"RADIOCITY","16.35","16.45","0.10","0.61","16.45","1,219","-","-","25.35","10.60"
"AUBANK","634.60","638.45","3.85","0.61","638.45","7,676","0.49","-","813.40","553.70"
"NECLIFE","33.00","33.20","0.20","0.61","33.20","11","-","-","45.70","16.50"
"GESHIP","1,002.85","1,008.90","6.05","0.60","1,008.90","1,681","0.17","-","1,129.00","666.95"
"DODLA","879.70","885.00","5.30","0.60","885.00","48","-","-","1,084.10","493.00"
"NFL","108.15","108.80","0.65","0.60","108.80","25,523","0.28","-","130.50","65.05"
"SOBHA","1,999.10","2,011.10","12.00","0.60","2,011.10","949","0.19","-","2,093.70","505.50"
"INDORAMA","41.65","41.90","0.25","0.60","41.90","11","-","-","67.10","36.40"
"PIDILITIND","3,019.90","3,038.00","18.10","0.60","3,038.00","827","0.25","-","3,118.00","2,292.55"
"AFFLE","1,252.50","1,260.00","7.50","0.60","1,260.00","1,661","0.21","-","1,336.90","925.00"
"CANBK","117.00","117.70","0.70","0.60","117.70","76,953","0.91","-","126.58","58.33"
"JYOTISTRUC","25.20","25.35","0.15","0.60","25.35","6,568","0.02","-","33.62","6.52"
"ATALREAL","8.40","8.45","0.05","0.60","8.45","15,079","0.01","-","29.51","7.85"
"SUPRAJIT","412.10","414.55","2.45","0.59","414.55","76","-","-","453.85","353.75"
"SBGLP","126.20","126.95","0.75","0.59","126.95","3,444","0.04","-","134.00","19.67"
"ONGC","277.65","279.30","1.65","0.59","279.30","20,587","0.57","-","292.95","150.05"
"ALEMBICLTD","101.40","102.00","0.60","0.59","102.00","1,177","0.01","-","110.45","66.60"
"TATAELXSI","7,316.80","7,360.00","43.20","0.59","7,360.00","316","0.23","-","9,200.00","6,992.05"
"CINELINE","127.25","128.00","0.75","0.59","128.00","400","0.01","-","184.90","77.60"
