,comb_str,comb_freq,comb_size,imp_flag,bkt_below_10_cnt,bkt_10_20_cnt,bkt_20_50_cnt,bkt_50_100_cnt,bkt_100_above,comb_detail_str,conf_detail_str,conf_max,conf_min,conf_flag
38,TATA,31,3345,0,2,0,0,0,0,TATA~2,15.5,15.5,15.5,1
39,TEA,19,3345,1,2,0,0,0,0,TEA~2,9.5,9.5,9.5,1
40,ZERO,16,3345,0,2,0,0,0,0,ZERO~2,8.0,8.0,8.0,1
41,BLUEBERRY,16,3345,0,2,0,0,0,0,BLUEBERRY~2,8.0,8.0,8.0,1
42,GREEN,64,3345,0,2,0,0,0,0,GREEN~2,32.0,32.0,32.0,1
43,PEACH,16,3345,1,2,0,0,0,0,PEACH~2,8.0,8.0,8.0,1
44,SWEETENED,12,3345,0,2,0,0,0,0,SWEETENED~2,6.0,6.0,6.0,1
45,ORGANIC,114,3345,0,2,0,0,0,0,ORGANIC~3,38.0,38.0,38.0,1
46,HONEY,19,3345,1,2,0,0,0,0,HONEY~2,9.5,9.5,9.5,1
47,PURE,14,3345,0,2,0,0,0,0,PURE~2,7.0,7.0,7.0,1
48,FRUIT,73,3345,0,2,0,0,0,0,FRUIT~2,36.5,36.5,36.5,1
49,KISSAN,11,3345,0,2,0,0,0,0,KISSAN~2,5.5,5.5,5.5,1
50,SPREAD,32,3345,0,2,0,0,0,0,SPREAD~2,16.0,16.0,16.0,1
51,MANTRA,23,3345,0,2,0,0,0,0,MANTRA~2,11.5,11.5,11.5,1
52,CHILLI,27,3345,0,2,0,0,0,0,CHILLI~2,13.5,13.5,13.5,1
53,SAUCE,44,3345,0,2,0,0,0,0,SAUCE~2,22.0,22.0,22.0,1
54,SPICY,41,3345,0,2,0,0,0,0,SPICY~2,20.5,20.5,20.5,1
55,VEEBA,64,3345,0,2,0,0,0,0,VEEBA~2,32.0,32.0,32.0,1
56,LIQUID,34,3345,1,2,0,0,0,0,LIQUID~2,17.0,17.0,17.0,1
57,MARINADE,14,3345,0,2,0,0,0,0,MARINADE~2,7.0,7.0,7.0,1
58,BLEND,28,3345,0,2,0,0,0,0,BLEND~2,14.0,14.0,14.0,1
59,GLUTEN,12,3345,0,2,0,0,0,0,GLUTEN~2,6.0,6.0,6.0,1
60,KEYA,14,3345,0,2,0,0,0,0,KEYA~2,7.0,7.0,7.0,1
61,MIX,74,3345,0,2,0,0,0,0,MIX~2,37.0,37.0,37.0,1
62,SEASONING,32,3345,0,2,0,0,0,0,SEASONING~2,16.0,16.0,16.0,1
63,EXTRA,25,3345,1,2,0,0,0,0,EXTRA~2,12.5,12.5,12.5,1
64,HOT,29,3345,1,2,0,0,0,0,HOT~2,14.5,14.5,14.5,1
65,GROUND,13,3345,0,2,0,0,0,0,GROUND~2,6.5,6.5,6.5,1
66,WITH,50,3345,1,2,0,0,0,0,WITH~2,25.0,25.0,25.0,1
67,AND,77,3345,0,2,0,0,0,0,AND~2,38.5,38.5,38.5,1
68,RICH,32,3345,0,2,0,0,0,0,RICH~2,16.0,16.0,16.0,1
69,STEAK,11,3345,0,2,0,0,0,0,STEAK~2,5.5,5.5,5.5,1
70,DIP,42,3345,0,2,0,0,0,0,DIP~2,21.0,21.0,21.0,1
71,RANCH,12,3345,0,2,0,0,0,0,RANCH~2,6.0,6.0,6.0,1
72,LIME,12,3345,1,2,0,0,0,0,LIME~2,6.0,6.0,6.0,1
73,DRESSING,19,3345,0,2,0,0,0,0,DRESSING~2,9.5,9.5,9.5,1
74,BORGES,16,3345,0,2,0,0,0,0,BORGES~2,8.0,8.0,8.0,1
75,CHEESE,189,3345,0,2,0,0,0,0,CHEESE~3,63.0,63.0,63.0,1
76,JALAPENO,14,3345,0,2,0,0,0,0,JALAPENO~2,7.0,7.0,7.0,1
77,PEPPERS,40,3345,0,2,0,0,0,0,PEPPERS~2,20.0,20.0,20.0,1
78,PICKLED,20,3345,0,2,0,0,0,0,PICKLED~2,10.0,10.0,10.0,1
79,SLICED,73,3345,0,2,0,0,0,0,SLICED~2,36.5,36.5,36.5,1
80,VEGETABLE,31,3345,0,2,0,0,0,0,VEGETABLE~2,15.5,15.5,15.5,1
81,DICED,10,3345,0,2,0,0,0,0,DICED~2,5.0,5.0,5.0,1
82,MILD,76,3345,0,2,0,0,0,0,MILD~2,38.0,38.0,38.0,1
83,PRESERVED,20,3345,0,2,0,0,0,0,PRESERVED~2,10.0,10.0,10.0,1
84,BABY,32,3345,1,2,0,0,0,0,BABY~2,16.0,16.0,16.0,1
85,CUCUMBERS,12,3345,0,2,0,0,0,0,CUCUMBERS~2,6.0,6.0,6.0,1
86,DEL,41,3345,0,2,0,0,0,0,DEL~2,20.5,20.5,20.5,1
87,MONTE,34,3345,0,2,0,0,0,0,MONTE~2,17.0,17.0,17.0,1
88,STYLE,88,3345,0,2,0,0,0,0,STYLE~2,44.0,44.0,44.0,1
89,BERRY,11,3345,1,2,0,0,0,0,BERRY~2,5.5,5.5,5.5,1
90,COKE,27,3345,0,2,0,0,0,0,COKE~2,13.5,13.5,13.5,1
91,CANS,10,3345,0,2,0,0,0,0,CANS~2,5.0,5.0,5.0,1
92,SOFT,74,3345,0,2,0,0,0,0,SOFT~2,37.0,37.0,37.0,1
93,COLA,13,3345,0,2,0,0,0,0,COLA~2,6.5,6.5,6.5,1
94,VANILLA,38,3345,1,2,0,0,0,0,VANILLA~2,19.0,19.0,19.0,1
95,CHIPS,28,3345,0,2,0,0,0,0,CHIPS~2,14.0,14.0,14.0,1
96,POTATO,40,3345,0,2,0,0,0,0,POTATO~2,20.0,20.0,20.0,1
97,SALT,33,3345,1,2,0,0,0,0,SALT~2,16.5,16.5,16.5,1
