,word,freq
320,BAIT,1
321,CONTROL,1
322,EFFECTIVE,1
323,GOODKNIGHT,1
324,PESTO,2
325,SOLUTION,2
326,TRAP,9
327,KNORR,11
328,MUSHROOM,12
329,OF,36
330,ASEPTIC,1
331,BROTH,5
332,CHICKEN,333
333,REDUCED,8
334,STOCK,3
335,SERVE,19
336,NOODLE,7
337,CHARGE#DEPOSIT,5
338,SINGLE,16
339,UNIT,3
340,FOOD,27
341,NON,5
342,SERVICE,1
343,CODE,8
344,DIGITAL,3
345,REDEMPTION,1
346,COUPON#DISCOUNT#GROCERY,10
347,OFFER,2
348,CAT,18
349,PUREPET,6
350,WET,14
351,CLUMPING,3
352,FRAGRANCE,9
353,FRESH,351
354,LITTER,4
355,MULTI,6
356,SAVIC,1
357,DROOLS,10
358,SEAFOOD,3
359,TREATS,14
360,ADULT,4
361,DOG,29
362,PEDIGREE,3
363,SALMON,7
364,HEALTH,13
365,PROACTIVE,1
366,CLEANING,2
367,ODOUR,2
368,SPRAY,21
369,REMOVER#STAIN,3
370,KITTEN,1
371,VARIETY,10
372,GRAVY,8
373,IN,23
374,QUALITY,14
375,RECIPE,5
376,AUTOMATIC,7
377,DETERGENT,7
378,DISHWASHER,2
379,GEL,15
380,MACHINES,2
381,VIM,3
382,AID,1
383,RINSE,1
384,DISHWASHER#FINISH,4
385,ALL,5
386,ONE,1
387,TABLETS,5
388,SCENT,4
389,COMFORT,12
390,DRYER,1
391,FABRIC,7
392,SHEETS,3
393,SOFTENER,4
394,WASH,12
395,EXCEL#SURF,2
396,DUTY#HEAVY,3
397,BAGS,11
398,FREEZER,1
399,PIGEON,2
400,QUART,9
401,SIZE,39
402,SLIDER,7
403,STORAGE,4
404,AIRTIGHT,1
405,GALLON,4
406,ALUMINIUM,2
407,PAN,2
408,PRESTIGE,3
409,LOAF,34
410,STICK,50
411,AER,2
412,GODREJ,55
413,REFILL,2
414,TROPICAL,15
415,AIR#FRESHENER,3
416,DETTOL,1
417,DISINFECTANT,1
418,MILTON,1
419,LAVENDER,11
420,PLUG,1
421,BLOCK,21
422,ODONIL,1
423,CLEANER,6
