,Role,Count
382,Student,1
383,Counselor,1
384,GCP,1
385,Blockchain,1
386,Essential,1
387,Education,2
388,Avis,1
389,Budget,1
390,Analytica,1
391,Innovations,1
392,Automation,3
393,factory,1
394,incharge,1
395,Migration,1
396,Database,1
397,Manager-TAG,1
398,Centric,1
399,Advisory,1
400,Sr.Director,1
401,eCom,1
402,Demand,1
403,Forecast,1
404,Promise,1
405,Pick-up,1
406,Gas,1
407,Electric,2
408,Partner-II,1
409,Founder-Chief,1
410,Governing,1
411,Network,1
412,Banks,1
413,Media,1
414,Publishing,1
415,Scrum,3
416,Master,3
417,Public,1
418,Relations,2
419,Soft,1
420,Skill,1
421,Azure,1
422,Cost,1
423,ITQA,1
424,Utility,3
425,Web,2
426,Applications,2
427,IVR,1
428,IVA,1
429,SOCALGAS,1
430,Order,1
431,Fraud,1
432,Scam,1
433,Cyber,1
434,Application,4
435,Support,2
436,Intern,3
437,Stratgy,1
438,Governance,2
439,Plan-to-Produce,1
440,Expert,2
441,Visiting,1
442,Faculty,2
443,MOM,1
444,Retired,5
445,Commerce,1
446,APM,1
447,Integrity,1
448,Pricing,1
449,Center,1
450,Energy,1
451,Integration,6
452,RVP,1
453,Field,2
454,Maintenance,1
455,Asso.,1
456,Placement,1
457,Ui,1
458,Ux,1
459,designer,1
460,|BI,1
461,developer,1
462,Processing,1
463,Capital,1
464,Markets,1
465,Financial,2
466,Assurance,2
467,RE,1
468,SVP,2
469,Director.,1
470,Employer,1
471,Branding,1
472,Arch,1
473,System,3
474,Google,2
475,Assets,1
476,Affiliated,1
477,Department,2
478,Self,1
479,Employed,1
480,Alexa,1
481,Skills,1
482,Kit,1
483,Abacus,1
484,Market,1
485,Agentic,1
486,Sams,1
487,Club,1
488,Freelancer,1
489,Propriter,1
490,Political,1
491,Editor,1
492,CAE,1
493,Marks&Spencer,1
494,E&P-Development,1
495,solutions,1
496,architect,3
497,CSO,1
498,technology,1
499,Quantum,1
500,Computing,1
501,Incubation,2
502,Mining,1
503,Contractor,2
504,Study,1
505,Abroad,1
506,professional,1
507,TAG,1
508,MANAGING,1
509,DIRECTOR,1
510,Warehousing,1
511,Commissioning,1
512,Lecturer,1
513,lecturer,1
514,-1,1
515,ACM,1
516,Vespa,1
517,Engine,1
518,Vehicle,1
519,C&SI,1
520,Scraping,1
521,Central,1
522,Test,2
